time,open,high,low,close,volume,value,date
2024-10-31 00:00:00+07:00,33.0,37.0,33.0,36.0,31169643,0.0,2024-10-31
2024-11-01 00:00:00+07:00,36.0,36.0,35.0,35.5,9454319,0.0,2024-11-01
2024-11-04 00:00:00+07:00,35.5,35.75,34.75,35.0,4917947,0.0,2024-11-04
2024-11-05 00:00:00+07:00,35.25,36.5,35.0,36.25,9000894,0.0,2024-11-05
2024-11-06 00:00:00+07:00,36.5,38.75,36.25,37.75,31803840,0.0,2024-11-06
2024-11-07 00:00:00+07:00,37.5,37.5,35.25,35.75,23241480,0.0,2024-11-07
2024-11-08 00:00:00+07:00,36.0,36.0,33.5,33.75,25384527,0.0,2024-11-08
2024-11-11 00:00:00+07:00,33.75,33.75,31.25,32.25,17969439,0.0,2024-11-11
2024-11-12 00:00:00+07:00,32.0,32.5,29.75,29.75,22948817,0.0,2024-11-12
2024-11-13 00:00:00+07:00,29.0,31.25,29.0,30.0,20474861,0.0,2024-11-13
2024-11-14 00:00:00+07:00,29.5,29.75,28.0,28.25,16226720,0.0,2024-11-14
2024-11-15 00:00:00+07:00,28.25,28.75,27.25,28.0,11645485,0.0,2024-11-15
2024-11-18 00:00:00+07:00,28.25,28.5,27.25,28.0,8181083,0.0,2024-11-18
2024-11-19 00:00:00+07:00,27.75,28.75,27.5,27.5,10242364,0.0,2024-11-19
2024-11-20 00:00:00+07:00,27.75,27.75,26.75,27.75,8279902,0.0,2024-11-20
2024-11-21 00:00:00+07:00,27.75,27.75,26.5,26.5,9020294,0.0,2024-11-21
2024-11-22 00:00:00+07:00,27.0,27.25,25.75,26.25,11127546,0.0,2024-11-22
2024-11-25 00:00:00+07:00,26.75,27.25,25.75,25.75,10717857,0.0,2024-11-25
2024-11-26 00:00:00+07:00,26.0,26.5,25.5,25.75,11332657,0.0,2024-11-26
2024-11-27 00:00:00+07:00,26.0,26.25,25.25,25.25,5462183,0.0,2024-11-27
2024-11-28 00:00:00+07:00,25.25,25.25,24.5,25.0,12655354,0.0,2024-11-28
2024-11-29 00:00:00+07:00,25.25,25.75,24.7,25.25,10021194,0.0,2024-11-29
2024-12-02 00:00:00+07:00,25.75,25.75,24.8,25.25,7100869,0.0,2024-12-02
2024-12-03 00:00:00+07:00,25.0,25.25,24.6,24.7,9117280,0.0,2024-12-03
2024-12-04 00:00:00+07:00,24.7,25.5,24.7,24.8,8137132,0.0,2024-12-04
2024-12-06 00:00:00+07:00,24.8,24.8,24.3,24.7,10308028,0.0,2024-12-06
2024-12-09 00:00:00+07:00,24.5,24.6,23.6,23.7,12944942,0.0,2024-12-09
2024-12-11 00:00:00+07:00,23.8,24.6,23.7,24.0,11231134,0.0,2024-12-11
2024-12-12 00:00:00+07:00,24.2,24.5,23.6,23.8,12764658,0.0,2024-12-12
2024-12-13 00:00:00+07:00,23.8,24.0,23.5,23.8,6807771,0.0,2024-12-13
2024-12-16 00:00:00+07:00,23.7,23.8,22.7,22.8,14233234,0.0,2024-12-16
2024-12-17 00:00:00+07:00,23.0,23.3,22.1,22.1,15942448,0.0,2024-12-17
2024-12-18 00:00:00+07:00,22.4,22.4,21.3,21.7,29232667,0.0,2024-12-18
2024-12-19 00:00:00+07:00,21.5,24.1,21.5,23.8,45241039,0.0,2024-12-19
2024-12-20 00:00:00+07:00,23.8,24.1,23.3,23.4,18119939,0.0,2024-12-20
2024-12-23 00:00:00+07:00,23.7,25.25,23.2,25.0,18101782,0.0,2024-12-23
2024-12-24 00:00:00+07:00,25.0,25.25,24.6,24.9,8308705,0.0,2024-12-24
2024-12-25 00:00:00+07:00,25.0,25.25,24.7,25.0,10410454,0.0,2024-12-25
2024-12-26 00:00:00+07:00,25.0,25.25,24.1,24.8,18895110,0.0,2024-12-26
2024-12-27 00:00:00+07:00,24.8,25.25,24.6,24.7,6461552,0.0,2024-12-27
2024-12-30 00:00:00+07:00,24.7,25.0,24.4,24.5,10323583,0.0,2024-12-30
2025-01-02 00:00:00+07:00,24.7,24.7,23.8,23.8,13062886,0.0,2025-01-02
2025-01-03 00:00:00+07:00,23.9,24.9,23.8,23.8,14575352,0.0,2025-01-03
2025-01-06 00:00:00+07:00,24.0,24.6,23.8,24.0,13925319,0.0,2025-01-06
2025-01-07 00:00:00+07:00,24.2,25.25,24.2,25.0,23788063,0.0,2025-01-07
2025-01-08 00:00:00+07:00,24.7,24.7,23.8,23.8,24982190,0.0,2025-01-08
2025-01-09 00:00:00+07:00,23.8,23.8,23.0,23.0,15185081,0.0,2025-01-09
2025-01-10 00:00:00+07:00,23.0,23.3,22.4,22.4,9452131,0.0,2025-01-10
2025-01-13 00:00:00+07:00,22.3,22.7,22.1,22.6,8017497,0.0,2025-01-13
2025-01-14 00:00:00+07:00,22.9,22.9,22.0,22.0,7852812,0.0,2025-01-14
2025-01-15 00:00:00+07:00,22.1,22.5,22.0,22.4,5724540,0.0,2025-01-15
2025-01-16 00:00:00+07:00,22.7,22.7,22.1,22.4,5298487,0.0,2025-01-16
2025-01-17 00:00:00+07:00,22.4,22.5,21.6,21.7,6559285,0.0,2025-01-17
2025-01-20 00:00:00+07:00,21.7,22.2,21.6,22.0,8274484,0.0,2025-01-20
2025-01-21 00:00:00+07:00,22.1,23.5,22.1,23.2,11324881,0.0,2025-01-21
2025-01-22 00:00:00+07:00,23.4,23.5,22.8,22.9,6300553,0.0,2025-01-22
2025-01-23 00:00:00+07:00,22.8,23.3,22.6,22.7,8294906,0.0,2025-01-23
2025-01-24 00:00:00+07:00,22.9,23.2,22.8,23.1,6315867,0.0,2025-01-24
2025-01-27 00:00:00+07:00,23.0,23.1,22.4,22.5,5165382,0.0,2025-01-27
2025-01-28 00:00:00+07:00,22.4,23.0,22.1,22.7,4976541,0.0,2025-01-28
2025-01-29 00:00:00+07:00,22.9,23.2,22.4,22.5,3961862,0.0,2025-01-29
2025-01-30 00:00:00+07:00,22.5,22.7,22.1,22.2,4659758,0.0,2025-01-30
2025-01-31 00:00:00+07:00,22.4,22.4,21.8,22.0,5890154,0.0,2025-01-31
2025-02-03 00:00:00+07:00,21.7,21.7,20.8,21.0,11916173,0.0,2025-02-03
2025-02-04 00:00:00+07:00,21.2,21.6,19.9,19.9,15530049,0.0,2025-02-04
2025-02-05 00:00:00+07:00,20.0,20.6,19.9,20.1,13125348,0.0,2025-02-05
2025-02-06 00:00:00+07:00,20.3,20.4,19.6,19.7,6495328,0.0,2025-02-06
2025-02-07 00:00:00+07:00,19.8,20.3,19.6,20.3,6403820,0.0,2025-02-07
2025-02-10 00:00:00+07:00,20.1,20.3,19.6,19.8,6651322,0.0,2025-02-10
2025-02-11 00:00:00+07:00,19.8,21.2,19.7,21.2,13788336,0.0,2025-02-11
2025-02-13 00:00:00+07:00,21.2,21.9,20.8,21.2,12564681,0.0,2025-02-13
2025-02-14 00:00:00+07:00,21.4,21.5,20.8,20.8,8319654,0.0,2025-02-14
2025-02-17 00:00:00+07:00,19.7,21.2,19.5,21.2,10255885,0.0,2025-02-17
2025-02-18 00:00:00+07:00,21.5,21.7,20.8,21.0,11818702,0.0,2025-02-18
2025-02-19 00:00:00+07:00,21.2,21.9,21.0,21.2,13457674,0.0,2025-02-19
2025-02-20 00:00:00+07:00,21.0,21.6,20.7,21.2,12998755,0.0,2025-02-20
2025-02-21 00:00:00+07:00,21.1,21.2,20.5,20.5,5564641,0.0,2025-02-21
2025-02-24 00:00:00+07:00,20.5,20.9,20.3,20.6,7975023,0.0,2025-02-24
2025-02-25 00:00:00+07:00,19.6,21.0,19.6,20.5,14402319,0.0,2025-02-25
2025-02-26 00:00:00+07:00,20.6,20.8,19.8,20.5,13890190,0.0,2025-02-26
2025-02-27 00:00:00+07:00,20.4,20.8,19.6,19.7,8925682,0.0,2025-02-27
2025-02-28 00:00:00+07:00,17.0,18.8,17.0,18.3,16588638,0.0,2025-02-28
2025-03-03 00:00:00+07:00,18.6,18.7,17.9,18.0,9552978,0.0,2025-03-03
2025-03-04 00:00:00+07:00,17.9,18.2,17.4,17.6,7759661,0.0,2025-03-04
2025-03-05 00:00:00+07:00,17.8,18.8,17.8,18.7,10260749,0.0,2025-03-05
2025-03-06 00:00:00+07:00,19.1,19.1,18.4,18.4,7737719,0.0,2025-03-06
2025-03-07 00:00:00+07:00,18.5,19.7,18.3,19.5,10468033,0.0,2025-03-07
2025-03-10 00:00:00+07:00,19.1,19.5,18.6,18.7,7069440,0.0,2025-03-10
2025-03-11 00:00:00+07:00,18.6,19.8,18.4,19.6,10168992,0.0,2025-03-11
2025-03-12 00:00:00+07:00,19.5,19.5,18.5,18.5,9244392,0.0,2025-03-12
2025-03-13 00:00:00+07:00,18.8,19.2,18.6,18.9,6389473,0.0,2025-03-13
2025-03-14 00:00:00+07:00,18.9,19.5,18.9,19.3,7351288,0.0,2025-03-14
2025-03-17 00:00:00+07:00,19.6,19.6,18.9,18.9,6240972,0.0,2025-03-17
2025-03-18 00:00:00+07:00,19.1,19.1,18.6,18.9,5540604,0.0,2025-03-18
2025-03-19 00:00:00+07:00,18.9,19.4,18.9,19.0,8169489,0.0,2025-03-19
2025-03-20 00:00:00+07:00,19.0,19.3,18.8,18.9,6879343,0.0,2025-03-20
2025-03-21 00:00:00+07:00,19.0,19.1,18.8,19.1,6669366,0.0,2025-03-21
2025-03-24 00:00:00+07:00,18.5,18.6,18.2,18.3,3911898,0.0,2025-03-24
2025-03-25 00:00:00+07:00,18.4,18.4,18.0,18.0,3992525,0.0,2025-03-25
2025-03-26 00:00:00+07:00,18.1,18.4,17.8,17.8,3990189,0.0,2025-03-26
2025-03-27 00:00:00+07:00,17.5,17.6,17.0,17.2,8021502,0.0,2025-03-27
2025-03-28 00:00:00+07:00,17.2,17.3,16.8,16.8,2521842,0.0,2025-03-28
2025-03-31 00:00:00+07:00,14.9,16.6,14.8,15.7,11228408,0.0,2025-03-31
2025-04-01 00:00:00+07:00,16.0,16.3,15.8,16.0,8043740,0.0,2025-04-01
2025-04-02 00:00:00+07:00,16.0,16.3,15.9,16.1,7440179,0.0,2025-04-02
2025-04-03 00:00:00+07:00,15.7,16.4,15.7,16.2,10936330,0.0,2025-04-03
2025-04-04 00:00:00+07:00,15.9,15.9,15.4,15.4,7833917,0.0,2025-04-04
2025-04-08 00:00:00+07:00,14.2,15.1,13.7,15.0,14314146,0.0,2025-04-08
2025-04-09 00:00:00+07:00,15.0,15.2,14.6,15.0,6318962,0.0,2025-04-09
2025-04-10 00:00:00+07:00,16.4,16.9,16.0,16.0,22541938,0.0,2025-04-10
2025-04-11 00:00:00+07:00,15.6,16.2,15.6,16.0,5581455,0.0,2025-04-11
2025-04-16 00:00:00+07:00,16.3,16.8,16.1,16.8,8566932,0.0,2025-04-16
2025-04-17 00:00:00+07:00,16.8,17.4,16.4,17.0,10285504,0.0,2025-04-17
2025-04-18 00:00:00+07:00,16.9,17.6,16.9,17.4,8163354,0.0,2025-04-18
2025-04-21 00:00:00+07:00,17.3,17.6,16.7,16.7,6146525,0.0,2025-04-21
2025-04-22 00:00:00+07:00,16.7,16.9,16.5,16.9,4229960,0.0,2025-04-22
2025-04-23 00:00:00+07:00,17.3,17.4,16.9,16.9,6775283,0.0,2025-04-23
2025-04-24 00:00:00+07:00,17.1,17.4,16.8,17.0,14681637,0.0,2025-04-24
2025-04-25 00:00:00+07:00,17.2,18.2,17.2,17.9,19493184,0.0,2025-04-25
2025-04-28 00:00:00+07:00,18.0,18.3,17.6,17.6,8963162,0.0,2025-04-28
2025-04-29 00:00:00+07:00,17.7,17.9,17.1,17.6,9707009,0.0,2025-04-29
2025-04-30 00:00:00+07:00,17.6,17.7,17.2,17.4,6924067,0.0,2025-04-30
2025-05-02 00:00:00+07:00,17.7,18.0,17.4,17.5,7797139,0.0,2025-05-02
2025-05-06 00:00:00+07:00,17.4,17.5,16.8,16.9,7049116,0.0,2025-05-06
2025-05-07 00:00:00+07:00,16.9,17.8,16.9,17.7,7272191,0.0,2025-05-07
2025-05-08 00:00:00+07:00,17.6,17.9,17.4,17.5,9931963,0.0,2025-05-08
2025-05-09 00:00:00+07:00,17.5,17.9,17.4,17.8,5867190,0.0,2025-05-09
2025-05-13 00:00:00+07:00,18.3,19.3,18.0,18.2,21375028,0.0,2025-05-13
2025-05-14 00:00:00+07:00,18.3,19.0,18.0,18.3,18788535,0.0,2025-05-14
2025-05-15 00:00:00+07:00,18.1,18.2,16.4,16.4,30554029,0.0,2025-05-15
2025-05-16 00:00:00+07:00,16.6,16.7,16.2,16.3,8428656,0.0,2025-05-16
2025-05-19 00:00:00+07:00,16.0,16.1,15.6,15.8,9687182,0.0,2025-05-19
2025-05-20 00:00:00+07:00,16.0,16.1,15.3,15.3,7995510,0.0,2025-05-20
2025-05-21 00:00:00+07:00,15.4,15.8,15.3,15.3,8530995,0.0,2025-05-21
2025-05-22 00:00:00+07:00,15.2,15.4,15.1,15.2,4830143,0.0,2025-05-22
2025-05-23 00:00:00+07:00,15.3,15.5,14.9,14.9,6389138,0.0,2025-05-23
2025-05-26 00:00:00+07:00,15.2,15.3,14.8,15.3,5208531,0.0,2025-05-26
2025-05-27 00:00:00+07:00,15.1,15.1,14.6,14.8,6285058,0.0,2025-05-27
2025-05-28 00:00:00+07:00,14.9,15.7,14.9,15.2,11862387,0.0,2025-05-28
2025-05-29 00:00:00+07:00,15.8,16.2,15.6,15.7,13783510,0.0,2025-05-29
2025-05-30 00:00:00+07:00,15.4,16.0,15.4,15.8,9288459,0.0,2025-05-30
2025-06-04 00:00:00+07:00,16.0,16.0,15.3,15.3,8816142,0.0,2025-06-04
2025-06-05 00:00:00+07:00,15.5,15.7,15.2,15.3,4593781,0.0,2025-06-05
2025-06-06 00:00:00+07:00,15.3,15.6,15.1,15.6,6752043,0.0,2025-06-06
2025-06-09 00:00:00+07:00,15.7,16.2,15.7,16.1,6738722,0.0,2025-06-09
2025-06-10 00:00:00+07:00,16.2,16.7,16.1,16.3,10451712,0.0,2025-06-10
2025-06-11 00:00:00+07:00,16.4,16.5,16.2,16.2,5822640,0.0,2025-06-11
2025-06-12 00:00:00+07:00,16.2,16.7,16.0,16.3,7758013,0.0,2025-06-12
2025-06-13 00:00:00+07:00,16.1,16.4,16.0,16.4,5222100,0.0,2025-06-13
2025-06-16 00:00:00+07:00,16.4,16.9,16.1,16.7,8077243,0.0,2025-06-16
2025-06-17 00:00:00+07:00,16.8,16.8,16.4,16.5,6389328,0.0,2025-06-17
2025-06-18 00:00:00+07:00,16.6,17.4,16.5,17.2,13746125,0.0,2025-06-18
2025-06-19 00:00:00+07:00,16.9,17.1,16.4,16.5,9743309,0.0,2025-06-19
2025-06-20 00:00:00+07:00,16.6,16.8,15.9,16.1,14086405,0.0,2025-06-20
2025-06-23 00:00:00+07:00,15.9,16.4,15.8,16.0,6423506,0.0,2025-06-23
2025-06-24 00:00:00+07:00,16.2,16.5,16.0,16.5,11514843,0.0,2025-06-24
