time,open,high,low,close,volume,value,date
2024-11-04 00:00:00+07:00,35.5,38.75,33.5,33.75,94348688,0.0,2024-11-04
2024-11-11 00:00:00+07:00,33.75,33.75,27.25,28.0,89265322,0.0,2024-11-11
2024-11-18 00:00:00+07:00,28.25,28.75,25.75,26.25,46851189,0.0,2024-11-18
2024-11-25 00:00:00+07:00,26.75,27.25,24.5,25.25,50189245,0.0,2024-11-25
2024-12-02 00:00:00+07:00,25.75,25.75,24.3,24.7,34663309,0.0,2024-12-02
2024-12-09 00:00:00+07:00,24.5,24.6,23.5,23.8,43748505,0.0,2024-12-09
2024-12-16 00:00:00+07:00,23.7,24.1,21.3,23.4,122769327,0.0,2024-12-16
2024-12-23 00:00:00+07:00,23.7,25.25,23.2,24.7,62177603,0.0,2024-12-23
2024-12-30 00:00:00+07:00,24.7,25.0,23.8,23.8,37961821,0.0,2024-12-30
2025-01-06 00:00:00+07:00,24.0,25.25,22.4,22.4,87332784,0.0,2025-01-06
2025-01-13 00:00:00+07:00,22.3,22.9,21.6,21.7,33452621,0.0,2025-01-13
2025-01-20 00:00:00+07:00,21.7,23.5,21.6,23.1,40510691,0.0,2025-01-20
2025-01-27 00:00:00+07:00,23.0,23.2,21.8,22.0,24653697,0.0,2025-01-27
2025-02-03 00:00:00+07:00,21.7,21.7,19.6,20.3,53470718,0.0,2025-02-03
2025-02-10 00:00:00+07:00,20.1,21.9,19.6,20.8,41323993,0.0,2025-02-10
2025-02-17 00:00:00+07:00,19.7,21.9,19.5,20.5,54095657,0.0,2025-02-17
2025-02-24 00:00:00+07:00,20.5,21.0,17.0,18.3,61781852,0.0,2025-02-24
2025-03-03 00:00:00+07:00,18.6,19.7,17.4,19.5,45779140,0.0,2025-03-03
2025-03-10 00:00:00+07:00,19.1,19.8,18.4,19.3,40223585,0.0,2025-03-10
2025-03-17 00:00:00+07:00,19.6,19.6,18.6,19.1,33499774,0.0,2025-03-17
2025-03-24 00:00:00+07:00,18.5,18.6,16.8,16.8,22437956,0.0,2025-03-24
2025-03-31 00:00:00+07:00,14.9,16.6,14.8,15.4,45482574,0.0,2025-03-31
2025-04-08 00:00:00+07:00,14.2,16.9,13.7,16.0,48756501,0.0,2025-04-08
2025-04-16 00:00:00+07:00,16.3,17.6,16.1,17.4,27015790,0.0,2025-04-16
2025-04-21 00:00:00+07:00,17.3,18.2,16.5,17.9,51326589,0.0,2025-04-21
2025-04-28 00:00:00+07:00,18.0,18.3,17.1,17.5,33391377,0.0,2025-04-28
2025-05-06 00:00:00+07:00,17.4,17.9,16.8,17.8,30120460,0.0,2025-05-06
2025-05-13 00:00:00+07:00,18.3,19.3,16.2,16.3,79146248,0.0,2025-05-13
2025-05-19 00:00:00+07:00,16.0,16.1,14.9,14.9,37432968,0.0,2025-05-19
2025-05-26 00:00:00+07:00,15.2,16.2,14.6,15.8,46427945,0.0,2025-05-26
2025-06-04 00:00:00+07:00,16.0,16.0,15.1,15.6,20161966,0.0,2025-06-04
2025-06-09 00:00:00+07:00,15.7,16.7,15.7,16.4,35993187,0.0,2025-06-09
2025-06-16 00:00:00+07:00,16.4,17.4,15.9,16.1,52042410,0.0,2025-06-16
2025-06-23 00:00:00+07:00,15.9,19.0,15.8,17.9,78438556,0.0,2025-06-23
2025-06-30 00:00:00+07:00,18.1,22.1,17.6,21.7,130694522,0.0,2025-06-30
2025-07-07 00:00:00+07:00,21.3,21.4,19.7,20.2,102078393,0.0,2025-07-07
2025-07-14 00:00:00+07:00,20.2,22.4,20.0,21.5,100755701,0.0,2025-07-14
2025-07-21 00:00:00+07:00,21.7,22.9,20.9,22.5,94460980,0.0,2025-07-21
2025-07-29 00:00:00+07:00,22.8,26.25,22.3,24.2,119203205,0.0,2025-07-29
2025-08-04 00:00:00+07:00,23.9,25.25,23.3,24.2,77607312,0.0,2025-08-04
2025-08-13 00:00:00+07:00,24.6,27.0,24.4,26.0,63058261,0.0,2025-08-13
2025-08-18 00:00:00+07:00,26.5,28.25,25.25,27.0,53316261,0.0,2025-08-18
2025-08-25 00:00:00+07:00,27.5,27.5,25.25,25.5,34299068,0.0,2025-08-25
2025-09-01 00:00:00+07:00,26.0,26.75,25.25,26.5,26361560,0.0,2025-09-01
2025-09-08 00:00:00+07:00,26.5,26.5,25.25,26.0,43499056,0.0,2025-09-08
2025-09-15 00:00:00+07:00,26.0,26.5,25.0,25.0,32004482,0.0,2025-09-15
2025-09-22 00:00:00+07:00,25.0,25.5,23.2,23.3,75877406,0.0,2025-09-22
2025-09-29 00:00:00+07:00,23.5,23.8,22.5,23.0,74704407,0.0,2025-09-29
2025-10-06 00:00:00+07:00,23.0,26.5,22.2,25.25,93891355,0.0,2025-10-06
2025-10-14 00:00:00+07:00,25.5,27.25,24.2,25.5,66565831,0.0,2025-10-14
2025-10-20 00:00:00+07:00,26.0,26.5,25.0,25.75,29945298,0.0,2025-10-20
2025-10-27 00:00:00+07:00,26.25,27.25,25.25,25.5,61612457,241502875.0,2025-10-27
