time,open,high,low,close,volume,value,date
2024-11-04 00:00:00+07:00,54.75,54.75,52.5,53.0,12325874,0.0,2024-11-04
2024-11-11 00:00:00+07:00,53.0,53.25,50.25,50.75,8339489,0.0,2024-11-11
2024-11-18 00:00:00+07:00,50.5,52.75,50.5,52.0,8336502,0.0,2024-11-18
2024-11-25 00:00:00+07:00,52.0,52.25,49.75,50.0,8108709,0.0,2024-11-25
2024-12-02 00:00:00+07:00,50.0,51.75,49.0,51.5,7735568,0.0,2024-12-02
2024-12-09 00:00:00+07:00,51.5,52.0,51.25,52.0,6124127,0.0,2024-12-09
2024-12-16 00:00:00+07:00,52.0,52.0,49.5,49.75,10272097,0.0,2024-12-16
2024-12-23 00:00:00+07:00,50.0,53.0,50.0,52.25,8637237,0.0,2024-12-23
2024-12-30 00:00:00+07:00,52.25,52.5,51.25,52.25,4368551,0.0,2024-12-30
2025-01-06 00:00:00+07:00,52.5,53.5,51.75,53.0,12785900,0.0,2025-01-06
2025-01-13 00:00:00+07:00,53.0,53.5,51.5,51.75,10657840,0.0,2025-01-13
2025-01-20 00:00:00+07:00,52.5,54.5,51.0,53.5,12421832,0.0,2025-01-20
2025-01-27 00:00:00+07:00,53.5,54.0,51.5,52.0,11862746,0.0,2025-01-27
2025-02-03 00:00:00+07:00,51.25,53.0,50.5,52.25,15482377,0.0,2025-02-03
2025-02-10 00:00:00+07:00,52.25,52.25,50.5,51.25,11171128,0.0,2025-02-10
2025-02-17 00:00:00+07:00,51.25,57.5,50.75,57.0,35376502,0.0,2025-02-17
2025-02-24 00:00:00+07:00,57.0,58.25,54.5,55.0,26647316,0.0,2025-02-24
2025-03-03 00:00:00+07:00,55.25,57.5,55.0,55.5,16490953,0.0,2025-03-03
2025-03-10 00:00:00+07:00,55.5,57.5,54.75,56.75,12695054,0.0,2025-03-10
2025-03-17 00:00:00+07:00,56.75,58.0,55.75,57.5,11701910,0.0,2025-03-17
2025-03-24 00:00:00+07:00,57.5,57.5,55.75,56.75,5179129,0.0,2025-03-24
2025-03-31 00:00:00+07:00,56.0,56.5,54.25,55.5,11545667,0.0,2025-03-31
2025-04-08 00:00:00+07:00,53.0,55.25,51.0,53.5,10511502,0.0,2025-04-08
2025-04-16 00:00:00+07:00,54.0,56.0,53.75,55.75,3918731,0.0,2025-04-16
2025-04-21 00:00:00+07:00,54.0,54.0,46.75,48.5,37809215,0.0,2025-04-21
2025-04-28 00:00:00+07:00,48.75,50.0,47.0,47.25,32533319,0.0,2025-04-28
2025-05-06 00:00:00+07:00,47.25,47.5,46.0,46.25,18400146,0.0,2025-05-06
2025-05-13 00:00:00+07:00,46.5,46.75,45.75,45.75,8544347,0.0,2025-05-13
2025-05-19 00:00:00+07:00,45.75,48.25,45.75,47.25,16113020,0.0,2025-05-19
2025-05-26 00:00:00+07:00,47.25,47.5,45.5,45.5,12579041,0.0,2025-05-26
2025-06-04 00:00:00+07:00,45.5,45.75,43.75,45.5,8564835,0.0,2025-06-04
2025-06-09 00:00:00+07:00,45.5,46.25,44.5,46.25,5873366,0.0,2025-06-09
2025-06-16 00:00:00+07:00,46.0,47.25,44.25,44.75,7636594,0.0,2025-06-16
2025-06-23 00:00:00+07:00,44.0,46.25,43.5,45.0,11205027,0.0,2025-06-23
2025-06-30 00:00:00+07:00,45.25,48.25,44.75,47.25,19203855,0.0,2025-06-30
2025-07-07 00:00:00+07:00,47.25,47.75,46.0,47.0,5554281,0.0,2025-07-07
2025-07-14 00:00:00+07:00,47.0,48.75,47.0,48.0,7832917,0.0,2025-07-14
2025-07-21 00:00:00+07:00,48.75,54.0,48.25,53.25,25992637,0.0,2025-07-21
2025-07-29 00:00:00+07:00,53.25,55.5,53.25,55.0,16311664,0.0,2025-07-29
2025-08-04 00:00:00+07:00,55.0,57.75,54.25,57.5,15955344,0.0,2025-08-04
2025-08-13 00:00:00+07:00,57.5,58.0,56.75,56.75,8531601,0.0,2025-08-13
2025-08-18 00:00:00+07:00,57.0,57.75,56.5,56.75,8181191,0.0,2025-08-18
2025-08-25 00:00:00+07:00,57.0,60.5,56.25,59.5,15334755,0.0,2025-08-25
2025-09-01 00:00:00+07:00,60.0,62.0,59.0,60.0,17835711,0.0,2025-09-01
2025-09-08 00:00:00+07:00,60.25,60.75,58.25,59.25,18831161,0.0,2025-09-08
2025-09-15 00:00:00+07:00,59.25,59.75,58.25,58.25,10400772,0.0,2025-09-15
2025-09-22 00:00:00+07:00,58.25,60.25,57.25,59.75,14505150,0.0,2025-09-22
2025-09-29 00:00:00+07:00,60.0,60.0,57.75,59.5,13938334,0.0,2025-09-29
2025-10-06 00:00:00+07:00,59.25,62.0,59.25,61.25,20825935,0.0,2025-10-06
2025-10-14 00:00:00+07:00,61.0,64.0,60.25,62.25,18714013,0.0,2025-10-14
2025-10-20 00:00:00+07:00,62.5,66.75,62.5,65.0,31035216,0.0,2025-10-20
2025-10-27 00:00:00+07:00,66.25,66.25,63.75,65.75,22280347,103088250.0,2025-10-27
