time,open,high,low,close,volume,value,date
2024-11-01 00:00:00+07:00,20.5,21.2,19.7,20.0,631296273,0.0,2024-11-01
2024-12-01 00:00:00+07:00,20.0,21.5,19.9,21.0,620245634,0.0,2024-12-01
2025-01-01 00:00:00+07:00,21.0,23.6,21.0,22.9,1102124537,0.0,2025-01-01
2025-02-01 00:00:00+07:00,22.6,24.7,22.1,22.5,1306480156,0.0,2025-02-01
2025-03-01 00:00:00+07:00,22.5,24.6,22.2,24.1,998602777,0.0,2025-03-01
2025-04-01 00:00:00+07:00,24.2,24.5,19.7,21.8,1344289274,0.0,2025-04-01
2025-05-01 00:00:00+07:00,21.9,22.9,21.5,22.2,1077131032,0.0,2025-05-01
2025-06-01 00:00:00+07:00,21.9,22.7,21.0,21.3,858105181,0.0,2025-06-01
2025-07-01 00:00:00+07:00,21.3,22.1,21.1,22.0,870848940,0.0,2025-07-01
2025-08-01 00:00:00+07:00,22.0,25.25,21.8,24.6,1243444831,0.0,2025-08-01
2025-09-01 00:00:00+07:00,24.6,26.5,24.5,24.8,941048485,0.0,2025-09-01
2025-10-01 00:00:00+07:00,24.8,27.5,24.3,27.25,1065845765,1374350025.0,2025-10-01
