time,open,high,low,close,volume,value,date
2024-11-04 00:00:00+07:00,20.6,21.2,20.1,21.0,227745634,0.0,2024-11-04
2024-11-11 00:00:00+07:00,20.9,21.0,20.3,20.5,114109284,0.0,2024-11-11
2024-11-18 00:00:00+07:00,20.6,20.7,20.3,20.5,130961077,0.0,2024-11-18
2024-11-25 00:00:00+07:00,20.5,20.6,19.7,20.0,136223632,0.0,2024-11-25
2024-12-02 00:00:00+07:00,20.0,20.8,19.9,20.7,100719503,0.0,2024-12-02
2024-12-09 00:00:00+07:00,20.8,21.5,20.7,21.3,190162331,0.0,2024-12-09
2024-12-16 00:00:00+07:00,21.4,21.4,20.4,20.4,174795288,0.0,2024-12-16
2024-12-23 00:00:00+07:00,20.5,21.3,20.3,21.1,137959449,0.0,2024-12-23
2024-12-30 00:00:00+07:00,21.1,21.7,21.0,21.5,109910730,0.0,2024-12-30
2025-01-06 00:00:00+07:00,21.6,21.9,21.4,21.7,217462370,0.0,2025-01-06
2025-01-13 00:00:00+07:00,21.6,22.4,21.6,22.1,212791696,0.0,2025-01-13
2025-01-20 00:00:00+07:00,22.2,23.1,21.7,22.6,301495971,0.0,2025-01-20
2025-01-27 00:00:00+07:00,22.6,23.6,22.5,22.9,277072833,0.0,2025-01-27
2025-02-03 00:00:00+07:00,22.6,24.0,22.5,23.8,352590177,0.0,2025-02-03
2025-02-10 00:00:00+07:00,23.8,23.9,22.6,22.8,206695487,0.0,2025-02-10
2025-02-17 00:00:00+07:00,23.1,24.7,22.9,24.0,369698710,0.0,2025-02-17
2025-02-24 00:00:00+07:00,23.8,24.0,22.1,22.5,377495782,0.0,2025-02-24
2025-03-03 00:00:00+07:00,22.5,23.1,22.2,22.5,220637171,0.0,2025-03-03
2025-03-10 00:00:00+07:00,22.6,23.7,22.3,23.6,248303026,0.0,2025-03-10
2025-03-17 00:00:00+07:00,23.5,24.0,23.2,24.0,284698303,0.0,2025-03-17
2025-03-24 00:00:00+07:00,24.0,24.6,23.8,24.5,198228814,0.0,2025-03-24
2025-03-31 00:00:00+07:00,24.0,24.5,22.6,22.7,287952564,0.0,2025-03-31
2025-04-08 00:00:00+07:00,21.3,23.0,20.5,22.6,384901905,0.0,2025-04-08
2025-04-16 00:00:00+07:00,20.8,22.0,20.6,21.3,166367190,0.0,2025-04-16
2025-04-21 00:00:00+07:00,21.2,21.2,19.7,20.8,298106674,0.0,2025-04-21
2025-04-28 00:00:00+07:00,20.9,22.0,20.8,21.7,323692446,0.0,2025-04-28
2025-05-06 00:00:00+07:00,21.7,22.8,21.6,22.4,273320312,0.0,2025-05-06
2025-05-13 00:00:00+07:00,22.5,22.9,21.5,21.8,261745202,0.0,2025-05-13
2025-05-19 00:00:00+07:00,21.8,22.8,21.7,22.7,263373481,0.0,2025-05-19
2025-05-26 00:00:00+07:00,22.8,22.9,21.8,22.2,208695995,0.0,2025-05-26
2025-06-04 00:00:00+07:00,21.9,22.7,21.5,22.4,175258597,0.0,2025-06-04
2025-06-09 00:00:00+07:00,22.4,22.6,21.6,22.0,168209159,0.0,2025-06-09
2025-06-16 00:00:00+07:00,22.2,22.2,21.0,21.2,222322884,0.0,2025-06-16
2025-06-23 00:00:00+07:00,21.0,22.0,21.0,21.5,250833428,0.0,2025-06-23
2025-06-30 00:00:00+07:00,21.7,21.9,21.2,21.7,157440033,0.0,2025-06-30
2025-07-07 00:00:00+07:00,21.7,22.1,21.5,21.6,134062402,0.0,2025-07-07
2025-07-14 00:00:00+07:00,21.7,21.8,21.1,21.2,281717329,0.0,2025-07-14
2025-07-21 00:00:00+07:00,21.2,22.0,21.1,21.5,231494703,0.0,2025-07-21
2025-07-29 00:00:00+07:00,21.5,22.3,21.5,22.1,178497665,0.0,2025-07-29
2025-08-04 00:00:00+07:00,22.1,24.2,21.8,24.1,484440167,0.0,2025-08-04
2025-08-13 00:00:00+07:00,24.3,24.7,23.9,24.5,238139861,0.0,2025-08-13
2025-08-18 00:00:00+07:00,24.5,24.5,23.8,24.0,197451898,0.0,2025-08-18
2025-08-25 00:00:00+07:00,24.1,25.25,24.0,24.6,252530826,0.0,2025-08-25
2025-09-01 00:00:00+07:00,24.6,25.5,24.5,25.25,159015039,0.0,2025-09-01
2025-09-08 00:00:00+07:00,25.75,26.5,25.25,26.25,200105546,0.0,2025-09-08
2025-09-15 00:00:00+07:00,26.0,26.5,25.0,25.25,282480219,0.0,2025-09-15
2025-09-22 00:00:00+07:00,25.25,25.5,24.8,25.0,140389102,0.0,2025-09-22
2025-09-29 00:00:00+07:00,25.25,25.5,24.5,25.0,283320386,0.0,2025-09-29
2025-10-06 00:00:00+07:00,25.25,25.25,24.6,24.8,301768653,0.0,2025-10-06
2025-10-14 00:00:00+07:00,24.8,25.5,24.3,25.0,149262581,0.0,2025-10-14
2025-10-20 00:00:00+07:00,25.25,27.5,25.0,27.25,238438844,0.0,2025-10-20
2025-10-27 00:00:00+07:00,27.25,27.5,26.0,27.25,252113880,1374350025.0,2025-10-27
