time,open,high,low,close,volume,value,date
2024-10-31 00:00:00+07:00,47.0,48.25,47.0,47.75,4229775,0.0,2024-10-31
2024-11-01 00:00:00+07:00,47.5,48.0,47.25,47.5,3000670,0.0,2024-11-01
2024-11-04 00:00:00+07:00,47.75,48.0,46.75,47.0,2785284,0.0,2024-11-04
2024-11-05 00:00:00+07:00,47.0,48.25,46.75,48.0,3808030,0.0,2024-11-05
2024-11-06 00:00:00+07:00,47.5,48.0,46.75,46.75,4887474,0.0,2024-11-06
2024-11-07 00:00:00+07:00,46.5,46.75,45.75,46.25,2975836,0.0,2024-11-07
2024-11-08 00:00:00+07:00,46.0,47.0,45.5,46.25,3524454,0.0,2024-11-08
2024-11-11 00:00:00+07:00,46.0,47.0,45.5,46.75,3849558,0.0,2024-11-11
2024-11-12 00:00:00+07:00,46.5,46.75,46.0,46.5,3665907,0.0,2024-11-12
2024-11-13 00:00:00+07:00,46.75,47.0,46.25,46.75,1947113,0.0,2024-11-13
2024-11-14 00:00:00+07:00,46.5,46.75,46.0,46.5,2931211,0.0,2024-11-14
2024-11-15 00:00:00+07:00,46.5,46.75,46.0,46.5,6347409,0.0,2024-11-15
2024-11-18 00:00:00+07:00,46.5,47.0,46.25,46.5,1630516,0.0,2024-11-18
2024-11-19 00:00:00+07:00,46.5,47.0,46.25,46.25,4561304,0.0,2024-11-19
2024-11-20 00:00:00+07:00,46.25,46.75,46.0,46.25,3866498,0.0,2024-11-20
2024-11-21 00:00:00+07:00,46.75,47.0,46.25,46.5,2145012,0.0,2024-11-21
2024-11-22 00:00:00+07:00,46.5,47.5,46.5,47.25,3810252,0.0,2024-11-22
2024-11-25 00:00:00+07:00,47.5,48.25,46.0,46.0,5243969,0.0,2024-11-25
2024-11-26 00:00:00+07:00,46.25,46.5,45.75,45.75,2936942,0.0,2024-11-26
2024-11-27 00:00:00+07:00,45.75,46.25,45.5,46.25,3042274,0.0,2024-11-27
2024-11-28 00:00:00+07:00,46.0,46.25,45.5,46.0,2823964,0.0,2024-11-28
2024-11-29 00:00:00+07:00,46.25,46.75,46.25,46.75,2675429,0.0,2024-11-29
2024-12-02 00:00:00+07:00,46.5,47.0,45.75,46.75,3001229,0.0,2024-12-02
2024-12-03 00:00:00+07:00,46.5,48.0,46.5,48.0,4241238,0.0,2024-12-03
2024-12-04 00:00:00+07:00,47.75,48.0,47.5,47.75,1687012,0.0,2024-12-04
2024-12-06 00:00:00+07:00,47.25,48.0,47.25,48.0,1617750,0.0,2024-12-06
2024-12-09 00:00:00+07:00,48.25,48.25,47.25,47.75,1483293,0.0,2024-12-09
2024-12-11 00:00:00+07:00,48.0,49.5,48.0,48.75,3063641,0.0,2024-12-11
2024-12-12 00:00:00+07:00,48.25,48.5,47.5,48.5,2737753,0.0,2024-12-12
2024-12-13 00:00:00+07:00,48.5,49.0,48.0,48.75,1072665,0.0,2024-12-13
2024-12-16 00:00:00+07:00,48.25,48.5,48.25,48.25,926612,0.0,2024-12-16
2024-12-17 00:00:00+07:00,48.5,49.0,48.25,48.75,1360108,0.0,2024-12-17
2024-12-18 00:00:00+07:00,48.25,48.75,47.75,48.5,2320162,0.0,2024-12-18
2024-12-19 00:00:00+07:00,47.75,48.25,47.5,47.75,1040847,0.0,2024-12-19
2024-12-20 00:00:00+07:00,47.75,48.0,46.5,47.0,5242446,0.0,2024-12-20
2024-12-23 00:00:00+07:00,47.75,48.5,47.25,48.5,1335180,0.0,2024-12-23
2024-12-24 00:00:00+07:00,48.25,48.5,48.0,48.25,5512197,0.0,2024-12-24
2024-12-25 00:00:00+07:00,48.5,49.0,48.5,48.75,5429715,0.0,2024-12-25
2024-12-26 00:00:00+07:00,48.5,49.5,48.0,49.25,1569725,0.0,2024-12-26
