time,open,high,low,close,volume,value,date
2024-11-01 00:00:00+07:00,39.25,39.25,33.25,35.25,20018580,0.0,2024-11-01
2024-12-01 00:00:00+07:00,35.0,35.5,32.0,33.25,24232215,0.0,2024-12-01
2025-01-01 00:00:00+07:00,33.25,35.5,31.0,31.5,16143664,0.0,2025-01-01
2025-02-01 00:00:00+07:00,31.0,35.0,29.75,32.5,20343000,0.0,2025-02-01
2025-03-01 00:00:00+07:00,32.75,34.0,28.75,29.25,17060311,0.0,2025-03-01
2025-04-01 00:00:00+07:00,29.75,31.0,26.5,30.25,20892190,0.0,2025-04-01
2025-05-01 00:00:00+07:00,30.25,31.25,24.3,25.5,29145016,0.0,2025-05-01
2025-06-01 00:00:00+07:00,25.5,26.75,24.6,25.75,23057503,0.0,2025-06-01
2025-07-01 00:00:00+07:00,26.0,30.75,25.25,30.75,22681785,0.0,2025-07-01
2025-08-01 00:00:00+07:00,30.5,31.25,28.0,28.0,15564557,0.0,2025-08-01
2025-09-01 00:00:00+07:00,28.0,32.75,28.0,31.0,16075818,0.0,2025-09-01
2025-10-01 00:00:00+07:00,31.0,31.75,27.75,29.5,13282312,8520025.0,2025-10-01
