time,open,high,low,close,volume,value,date
2024-11-01 00:00:00+07:00,26.75,28.0,25.0,26.75,283583386,0.0,2024-11-01
2024-12-01 00:00:00+07:00,27.0,28.5,25.25,26.0,233949522,0.0,2024-12-01
2025-01-01 00:00:00+07:00,26.25,26.5,22.9,24.0,483463629,0.0,2025-01-01
2025-02-01 00:00:00+07:00,23.6,29.5,23.5,29.0,487123381,0.0,2025-02-01
2025-03-01 00:00:00+07:00,29.25,29.5,25.25,26.25,278298281,0.0,2025-03-01
2025-04-01 00:00:00+07:00,26.5,27.5,23.5,26.75,215033800,0.0,2025-04-01
2025-05-01 00:00:00+07:00,27.0,27.5,23.9,24.8,387111322,0.0,2025-05-01
2025-06-01 00:00:00+07:00,25.25,25.5,21.7,23.2,298792974,0.0,2025-06-01
2025-07-01 00:00:00+07:00,23.6,26.25,22.9,25.0,423052170,0.0,2025-07-01
2025-08-01 00:00:00+07:00,25.5,25.5,23.3,23.4,331988228,0.0,2025-08-01
2025-09-01 00:00:00+07:00,23.3,25.25,22.8,23.1,425610955,0.0,2025-09-01
2025-10-01 00:00:00+07:00,23.3,23.4,22.2,23.0,199558601,239078130.0,2025-10-01
