time,open,high,low,close,volume,value
2025-08-01 09:00:00+07:00,25.5,25.5,25.25,25.25,583100,0.0
2025-08-01 10:00:00+07:00,25.25,25.5,25.0,25.0,1124700,0.0
2025-08-01 11:00:00+07:00,25.0,25.25,24.6,24.6,4219600,0.0
2025-08-01 12:00:00+07:00,24.7,24.7,24.5,24.5,923400,0.0
2025-08-01 13:00:00+07:00,24.6,24.6,24.5,24.6,683400,0.0
2025-08-01 14:00:00+07:00,24.6,24.6,24.2,24.3,6105000,0.0
2025-08-01 15:00:00+07:00,24.3,24.5,23.9,24.1,8538900,0.0
2025-08-01 16:00:00+07:00,24.1,24.2,23.6,23.7,11412500,0.0
2025-08-04 09:00:00+07:00,23.9,23.9,23.8,23.9,887500,0.0
2025-08-04 10:00:00+07:00,23.9,23.9,23.5,23.6,6724900,0.0
2025-08-04 11:00:00+07:00,23.6,23.7,23.5,23.6,1869100,0.0
2025-08-04 12:00:00+07:00,23.7,23.7,23.6,23.7,138000,0.0
2025-08-04 13:00:00+07:00,23.7,23.7,23.6,23.6,354200,0.0
2025-08-04 14:00:00+07:00,23.7,24.0,23.6,23.9,4843300,0.0
2025-08-04 15:00:00+07:00,23.9,24.0,23.7,24.0,2645700,0.0
2025-08-04 16:00:00+07:00,23.9,24.0,23.6,23.8,3550100,0.0
2025-08-05 09:00:00+07:00,23.8,23.9,23.7,23.9,653600,0.0
2025-08-05 10:00:00+07:00,23.8,24.1,23.7,24.0,2767200,0.0
2025-08-05 11:00:00+07:00,24.0,24.2,24.0,24.2,2147700,0.0
2025-08-05 12:00:00+07:00,24.2,24.4,24.1,24.4,2072300,0.0
2025-08-05 13:00:00+07:00,24.4,24.4,24.4,24.4,87200,0.0
2025-08-05 14:00:00+07:00,24.3,24.5,24.0,24.1,5915700,0.0
2025-08-05 15:00:00+07:00,24.0,24.3,24.0,24.3,1602000,0.0
2025-08-05 16:00:00+07:00,24.2,24.3,24.0,24.3,4702200,0.0
2025-08-06 09:00:00+07:00,24.1,24.1,24.1,24.1,535800,0.0
2025-08-06 10:00:00+07:00,24.2,24.3,24.0,24.1,6918600,0.0
2025-08-06 11:00:00+07:00,24.1,24.3,24.1,24.3,3449200,0.0
2025-08-06 12:00:00+07:00,24.4,24.4,24.3,24.3,195900,0.0
2025-08-06 13:00:00+07:00,24.3,24.4,24.3,24.4,462100,0.0
2025-08-06 14:00:00+07:00,24.3,24.4,24.0,24.3,6866400,0.0
2025-08-06 15:00:00+07:00,24.3,24.3,24.0,24.1,9327100,0.0
2025-08-06 16:00:00+07:00,24.1,24.4,24.1,24.3,8622100,0.0
2025-08-07 09:00:00+07:00,24.5,24.7,24.5,24.7,1372200,0.0
2025-08-07 10:00:00+07:00,24.7,25.25,24.5,25.25,8795300,0.0
2025-08-07 11:00:00+07:00,25.25,25.25,24.7,24.7,4422900,0.0
2025-08-07 12:00:00+07:00,24.7,24.9,24.5,24.9,3542500,0.0
2025-08-07 13:00:00+07:00,24.8,24.8,24.8,24.8,115000,0.0
2025-08-07 14:00:00+07:00,24.8,24.9,24.6,24.8,3189700,0.0
2025-08-07 15:00:00+07:00,24.8,24.9,24.7,24.7,1819200,0.0
2025-08-07 16:00:00+07:00,24.7,24.7,24.6,24.7,2714900,0.0
2025-08-08 09:00:00+07:00,24.5,24.7,24.5,24.7,555800,0.0
2025-08-08 10:00:00+07:00,24.7,24.8,24.4,24.7,3385800,0.0
2025-08-08 11:00:00+07:00,24.7,24.8,24.6,24.6,873600,0.0
2025-08-08 12:00:00+07:00,24.6,24.7,24.5,24.5,537600,0.0
2025-08-08 13:00:00+07:00,24.5,24.6,24.5,24.5,81500,0.0
2025-08-08 14:00:00+07:00,24.5,24.6,24.4,24.4,1324300,0.0
2025-08-08 15:00:00+07:00,24.4,24.7,24.4,24.5,2648200,0.0
2025-08-08 16:00:00+07:00,24.5,24.6,24.3,24.5,4028300,0.0
2025-08-13 09:00:00+07:00,24.6,24.6,24.5,24.6,685000,0.0
2025-08-13 10:00:00+07:00,24.6,24.6,24.4,24.4,3812000,0.0
2025-08-13 11:00:00+07:00,24.4,24.6,24.4,24.6,1132100,0.0
2025-08-13 12:00:00+07:00,24.5,24.7,24.5,24.5,1142300,0.0
2025-08-13 13:00:00+07:00,24.6,24.6,24.5,24.5,87300,0.0
2025-08-13 14:00:00+07:00,24.6,24.7,24.4,24.5,3922700,0.0
2025-08-13 15:00:00+07:00,24.5,24.6,24.5,24.5,1864100,0.0
2025-08-13 16:00:00+07:00,24.5,24.6,24.4,24.6,2966200,0.0
2025-08-14 09:00:00+07:00,24.5,24.5,24.5,24.5,552000,0.0
2025-08-14 10:00:00+07:00,24.5,24.5,24.2,24.3,1908200,0.0
2025-08-14 11:00:00+07:00,24.4,24.4,24.1,24.2,1326100,0.0
2025-08-14 12:00:00+07:00,24.2,24.2,24.1,24.2,138200,0.0
2025-08-14 13:00:00+07:00,24.2,24.2,24.2,24.2,479000,0.0
2025-08-14 14:00:00+07:00,24.3,24.5,24.2,24.4,1814000,0.0
2025-08-14 15:00:00+07:00,24.4,24.6,24.3,24.6,1755300,0.0
2025-08-14 16:00:00+07:00,24.6,24.7,24.5,24.7,2888200,0.0
2025-08-15 09:00:00+07:00,24.5,24.6,24.4,24.6,186700,0.0
2025-08-15 10:00:00+07:00,24.5,24.5,24.3,24.4,1989800,0.0
2025-08-15 11:00:00+07:00,24.5,24.6,24.4,24.4,1448900,0.0
2025-08-15 12:00:00+07:00,24.4,24.5,24.3,24.4,221800,0.0
2025-08-15 13:00:00+07:00,24.4,24.4,24.3,24.4,55400,0.0
2025-08-15 14:00:00+07:00,24.4,24.4,24.3,24.4,703600,0.0
2025-08-15 15:00:00+07:00,24.4,24.6,24.4,24.5,1308000,0.0
2025-08-15 16:00:00+07:00,24.5,24.5,24.4,24.4,1827600,0.0
2025-08-18 09:00:00+07:00,24.4,24.4,24.4,24.4,68600,0.0
2025-08-18 10:00:00+07:00,24.4,24.6,24.3,24.4,1966800,0.0
2025-08-18 11:00:00+07:00,24.5,24.5,24.4,24.5,197100,0.0
2025-08-18 12:00:00+07:00,24.5,24.5,24.4,24.4,211400,0.0
