time,open,high,low,close,volume,value
2025-08-01 09:00:00+07:00,38.25,38.25,38.0,38.0,199000,0.0
2025-08-01 10:00:00+07:00,38.25,38.5,37.5,37.5,1231000,0.0
2025-08-01 11:00:00+07:00,37.5,38.0,37.25,37.5,1373100,0.0
2025-08-01 12:00:00+07:00,37.5,37.75,37.25,37.5,594400,0.0
2025-08-01 13:00:00+07:00,37.5,37.5,37.25,37.5,53800,0.0
2025-08-01 14:00:00+07:00,37.25,37.5,37.25,37.5,365000,0.0
2025-08-01 15:00:00+07:00,37.25,37.5,36.75,36.75,1658400,0.0
2025-08-01 16:00:00+07:00,36.75,37.0,36.0,36.0,2891600,0.0
2025-08-04 09:00:00+07:00,36.5,36.5,36.5,36.5,143000,0.0
2025-08-04 10:00:00+07:00,36.5,36.75,36.0,36.75,2181600,0.0
2025-08-04 11:00:00+07:00,36.75,36.75,36.5,36.75,448100,0.0
2025-08-04 12:00:00+07:00,36.75,36.75,36.25,36.25,354600,0.0
2025-08-04 13:00:00+07:00,36.5,36.5,36.25,36.5,262400,0.0
2025-08-04 14:00:00+07:00,36.75,37.5,36.75,37.25,2448000,0.0
2025-08-04 15:00:00+07:00,37.25,37.5,37.0,37.25,1103700,0.0
2025-08-04 16:00:00+07:00,37.5,37.5,37.0,37.0,1208700,0.0
2025-08-05 09:00:00+07:00,38.0,38.0,37.75,37.75,177500,0.0
2025-08-05 10:00:00+07:00,37.75,38.25,37.75,37.75,1310200,0.0
2025-08-05 11:00:00+07:00,37.75,38.75,37.75,38.25,3054500,0.0
2025-08-05 12:00:00+07:00,38.25,39.0,38.25,38.75,1553800,0.0
2025-08-05 13:00:00+07:00,39.0,39.0,38.75,38.75,29000,0.0
2025-08-05 14:00:00+07:00,38.75,39.25,38.75,38.75,3171100,0.0
2025-08-05 15:00:00+07:00,38.5,38.75,38.5,38.75,1148000,0.0
2025-08-05 16:00:00+07:00,38.75,38.75,38.25,38.5,1371400,0.0
2025-08-06 09:00:00+07:00,40.0,40.25,39.75,40.0,2055200,0.0
2025-08-06 10:00:00+07:00,40.0,40.5,39.25,39.25,5497900,0.0
2025-08-06 11:00:00+07:00,39.25,39.75,39.25,39.75,991200,0.0
2025-08-06 12:00:00+07:00,39.5,39.75,39.25,39.25,682700,0.0
2025-08-06 13:00:00+07:00,39.5,39.5,39.25,39.25,741400,0.0
2025-08-06 14:00:00+07:00,39.5,39.75,39.25,39.5,1982400,0.0
2025-08-06 15:00:00+07:00,39.25,39.5,38.75,39.0,3619500,0.0
2025-08-06 16:00:00+07:00,39.25,39.25,38.75,39.0,2047200,0.0
2025-08-07 09:00:00+07:00,39.25,39.25,39.25,39.25,396500,0.0
2025-08-07 10:00:00+07:00,39.25,39.5,38.75,39.25,4062700,0.0
2025-08-07 11:00:00+07:00,39.5,39.5,39.0,39.25,1459800,0.0
2025-08-07 12:00:00+07:00,39.25,39.25,39.0,39.0,257600,0.0
2025-08-07 13:00:00+07:00,39.25,39.25,39.0,39.0,50500,0.0
