time,open,high,low,close,volume,value,date
2024-11-01 00:00:00+07:00,15.3,15.6,13.6,14.1,225998803,0.0,2024-11-01
2024-12-01 00:00:00+07:00,14.2,14.4,12.9,13.3,141688471,0.0,2024-12-01
2025-01-01 00:00:00+07:00,13.3,13.4,11.4,11.6,337656492,0.0,2025-01-01
2025-02-01 00:00:00+07:00,10.9,12.9,10.7,11.0,363629010,0.0,2025-02-01
2025-03-01 00:00:00+07:00,11.0,12.2,10.1,11.8,461902438,0.0,2025-03-01
2025-04-01 00:00:00+07:00,12.0,14.5,11.1,14.5,520291732,0.0,2025-04-01
2025-05-01 00:00:00+07:00,14.4,15.1,11.8,11.8,689798029,0.0,2025-05-01
2025-06-01 00:00:00+07:00,11.8,12.2,10.1,11.3,348716709,0.0,2025-06-01
2025-07-01 00:00:00+07:00,11.5,14.2,10.8,13.9,347191832,0.0,2025-07-01
2025-08-01 00:00:00+07:00,14.0,14.0,12.3,13.3,1043152938,0.0,2025-08-01
2025-09-01 00:00:00+07:00,13.4,14.7,13.0,14.2,717041359,0.0,2025-09-01
2025-10-01 00:00:00+07:00,14.1,14.9,13.0,14.7,433964437,130867690.0,2025-10-01
