time,open,high,low,close,volume,value,date
2024-11-01 00:00:00+07:00,20.7,21.7,19.8,21.6,159780970,0.0,2024-11-01
2024-12-01 00:00:00+07:00,21.8,22.1,20.1,20.8,113987168,0.0,2024-12-01
2025-01-01 00:00:00+07:00,20.7,21.6,16.1,16.2,371688974,0.0,2025-01-01
2025-02-01 00:00:00+07:00,15.3,16.1,13.5,14.9,389283947,0.0,2025-02-01
2025-03-01 00:00:00+07:00,14.7,16.2,13.1,13.5,263871173,0.0,2025-03-01
2025-04-01 00:00:00+07:00,13.6,16.1,12.9,15.8,186211851,0.0,2025-04-01
2025-05-01 00:00:00+07:00,15.9,17.0,14.3,15.9,310694125,0.0,2025-05-01
2025-06-01 00:00:00+07:00,16.0,16.3,13.6,15.0,142259477,0.0,2025-06-01
2025-07-01 00:00:00+07:00,15.1,18.2,14.5,17.9,244506807,0.0,2025-07-01
2025-08-01 00:00:00+07:00,18.1,18.9,16.2,16.4,183441732,0.0,2025-08-01
2025-09-01 00:00:00+07:00,16.3,19.5,15.9,17.2,251402125,0.0,2025-09-01
2025-10-01 00:00:00+07:00,17.2,17.3,15.4,15.7,154442581,40247310.0,2025-10-01
