time,open,high,low,close,volume,value,date
2024-11-01 00:00:00+07:00,26.25,28.0,23.7,25.25,294017367,0.0,2024-11-01
2024-12-01 00:00:00+07:00,25.25,25.75,22.2,24.4,307543844,0.0,2024-12-01
2025-01-01 00:00:00+07:00,24.4,26.25,20.6,21.5,413375951,0.0,2025-01-01
2025-02-01 00:00:00+07:00,21.0,21.0,15.5,15.9,789570099,0.0,2025-02-01
2025-03-01 00:00:00+07:00,15.4,19.3,14.6,17.2,963206209,0.0,2025-03-01
2025-04-01 00:00:00+07:00,17.4,18.5,14.2,17.3,620418269,0.0,2025-04-01
2025-05-01 00:00:00+07:00,17.5,21.5,16.6,20.8,669389303,0.0,2025-05-01
2025-06-01 00:00:00+07:00,20.2,21.1,18.2,19.9,385523742,0.0,2025-06-01
2025-07-01 00:00:00+07:00,20.0,24.7,19.8,23.7,627075102,0.0,2025-07-01
2025-08-01 00:00:00+07:00,24.2,28.0,22.1,26.25,688485639,0.0,2025-08-01
2025-09-01 00:00:00+07:00,26.5,28.75,24.8,24.9,406967778,0.0,2025-09-01
2025-10-01 00:00:00+07:00,25.0,25.75,23.3,25.25,501690258,501940375.0,2025-10-01
