time,open,high,low,close,volume,value,date
2024-11-04 00:00:00+07:00,26.5,28.0,25.5,27.0,85621771,0.0,2024-11-04
2024-11-11 00:00:00+07:00,26.75,26.75,23.7,24.1,75308451,0.0,2024-11-11
2024-11-18 00:00:00+07:00,24.3,26.25,24.2,25.75,68029122,0.0,2024-11-18
2024-11-25 00:00:00+07:00,25.75,26.25,24.6,25.25,57013615,0.0,2024-11-25
2024-12-02 00:00:00+07:00,25.25,25.75,24.6,25.25,38094301,0.0,2024-12-02
2024-12-09 00:00:00+07:00,25.0,25.5,24.2,24.8,74881911,0.0,2024-12-09
2024-12-16 00:00:00+07:00,24.8,24.8,22.4,22.6,101678447,0.0,2024-12-16
2024-12-23 00:00:00+07:00,22.8,24.7,22.2,24.3,83849104,0.0,2024-12-23
2024-12-30 00:00:00+07:00,24.4,26.25,24.2,25.5,49663280,0.0,2024-12-30
2025-01-06 00:00:00+07:00,25.25,25.5,22.9,23.0,80348493,0.0,2025-01-06
2025-01-13 00:00:00+07:00,22.8,23.7,21.3,21.5,127049975,0.0,2025-01-13
2025-01-20 00:00:00+07:00,21.8,22.4,20.6,22.4,112689864,0.0,2025-01-20
2025-01-27 00:00:00+07:00,22.2,22.6,21.3,21.5,52664420,0.0,2025-01-27
2025-02-03 00:00:00+07:00,21.0,21.0,19.6,20.2,92070685,0.0,2025-02-03
2025-02-10 00:00:00+07:00,19.6,20.4,18.6,19.4,106688463,0.0,2025-02-10
2025-02-17 00:00:00+07:00,19.6,20.0,18.0,18.3,204927171,0.0,2025-02-17
2025-02-24 00:00:00+07:00,18.1,18.5,15.5,15.9,385883780,0.0,2025-02-24
2025-03-03 00:00:00+07:00,15.4,17.9,14.6,17.0,352398357,0.0,2025-03-03
2025-03-10 00:00:00+07:00,16.8,19.3,16.5,19.0,223628544,0.0,2025-03-10
2025-03-17 00:00:00+07:00,19.0,19.3,17.7,18.7,247049953,0.0,2025-03-17
2025-03-24 00:00:00+07:00,18.8,18.9,17.3,17.6,117677459,0.0,2025-03-24
2025-03-31 00:00:00+07:00,17.0,17.8,15.8,15.8,176002464,0.0,2025-03-31
2025-04-08 00:00:00+07:00,14.4,17.2,14.2,16.6,168515751,0.0,2025-04-08
2025-04-16 00:00:00+07:00,16.8,18.4,16.5,18.1,97334448,0.0,2025-04-16
2025-04-21 00:00:00+07:00,18.0,18.5,17.4,17.7,121503304,0.0,2025-04-21
2025-04-28 00:00:00+07:00,17.6,17.9,16.7,17.0,114028896,0.0,2025-04-28
2025-05-06 00:00:00+07:00,17.0,19.4,16.6,19.3,152072832,0.0,2025-05-06
2025-05-13 00:00:00+07:00,20.4,20.7,18.5,18.7,151079704,0.0,2025-05-13
2025-05-19 00:00:00+07:00,18.6,20.2,18.4,19.7,160619819,0.0,2025-05-19
2025-05-26 00:00:00+07:00,19.9,21.5,19.5,20.8,171102250,0.0,2025-05-26
2025-06-04 00:00:00+07:00,20.2,20.8,19.6,19.8,55180142,0.0,2025-06-04
2025-06-09 00:00:00+07:00,20.2,21.1,19.3,20.7,111325381,0.0,2025-06-09
2025-06-16 00:00:00+07:00,20.6,20.7,18.7,19.1,91420019,0.0,2025-06-16
2025-06-23 00:00:00+07:00,18.8,20.6,18.2,19.5,120238141,0.0,2025-06-23
2025-06-30 00:00:00+07:00,19.8,21.0,19.7,20.6,65675159,0.0,2025-06-30
2025-07-07 00:00:00+07:00,20.7,21.5,19.8,20.9,76481500,0.0,2025-07-07
2025-07-14 00:00:00+07:00,20.8,23.0,20.7,22.5,151449012,0.0,2025-07-14
2025-07-21 00:00:00+07:00,22.4,22.5,21.0,21.6,159284809,0.0,2025-07-21
2025-07-29 00:00:00+07:00,21.8,24.7,21.7,23.7,245079911,0.0,2025-07-29
2025-08-04 00:00:00+07:00,23.8,25.5,23.1,24.1,156191107,0.0,2025-08-04
2025-08-13 00:00:00+07:00,24.0,24.7,22.6,22.7,86806938,0.0,2025-08-13
2025-08-18 00:00:00+07:00,22.7,28.0,22.1,27.0,258751499,0.0,2025-08-18
2025-08-25 00:00:00+07:00,27.5,27.75,26.0,26.25,123200865,0.0,2025-08-25
2025-09-01 00:00:00+07:00,26.5,28.25,25.5,27.75,134764189,0.0,2025-09-01
2025-09-08 00:00:00+07:00,28.0,28.75,26.75,27.75,80399766,0.0,2025-09-08
2025-09-15 00:00:00+07:00,28.0,28.5,27.0,27.5,45650493,0.0,2025-09-15
2025-09-22 00:00:00+07:00,27.25,28.0,25.75,26.25,86276101,0.0,2025-09-22
2025-09-29 00:00:00+07:00,26.5,26.75,24.1,25.0,133156766,0.0,2025-09-29
2025-10-06 00:00:00+07:00,25.0,25.75,24.6,25.25,80562768,0.0,2025-10-06
2025-10-14 00:00:00+07:00,25.25,25.5,23.4,23.4,84367104,0.0,2025-10-14
2025-10-20 00:00:00+07:00,23.8,24.4,23.3,24.1,107865879,0.0,2025-10-20
2025-10-27 00:00:00+07:00,24.2,25.75,24.0,25.25,155614970,501940375.0,2025-10-27
