time,open,high,low,close,volume,value,date
2024-11-04 00:00:00+07:00,32.75,32.75,30.25,30.75,15244396,0.0,2024-11-04
2024-11-11 00:00:00+07:00,30.5,30.75,29.5,29.75,9095848,0.0,2024-11-11
2024-11-18 00:00:00+07:00,30.0,31.0,30.0,30.5,9063789,0.0,2024-11-18
2024-11-25 00:00:00+07:00,30.75,31.5,30.75,30.75,8654311,0.0,2024-11-25
2024-12-02 00:00:00+07:00,31.0,32.5,30.75,32.25,9688153,0.0,2024-12-02
2024-12-09 00:00:00+07:00,32.25,32.5,31.25,31.5,6192584,0.0,2024-12-09
2024-12-16 00:00:00+07:00,31.25,31.75,29.75,30.0,16235608,0.0,2024-12-16
2024-12-23 00:00:00+07:00,30.0,30.5,29.5,30.0,11049210,0.0,2024-12-23
2024-12-30 00:00:00+07:00,30.0,30.25,29.25,29.25,9386167,0.0,2024-12-30
2025-01-06 00:00:00+07:00,29.0,29.5,28.0,28.5,14781778,0.0,2025-01-06
2025-01-13 00:00:00+07:00,28.25,28.5,27.25,27.75,12957717,0.0,2025-01-13
2025-01-20 00:00:00+07:00,27.75,29.25,27.75,29.25,11927370,0.0,2025-01-20
2025-01-27 00:00:00+07:00,29.0,29.25,28.25,28.5,6341161,0.0,2025-01-27
2025-02-03 00:00:00+07:00,27.75,28.25,26.25,27.25,12707936,0.0,2025-02-03
2025-02-10 00:00:00+07:00,27.25,27.75,26.5,27.75,10043089,0.0,2025-02-10
2025-02-17 00:00:00+07:00,28.25,28.75,27.5,27.75,10918128,0.0,2025-02-17
2025-02-24 00:00:00+07:00,27.75,28.0,26.0,26.0,17639832,0.0,2025-02-24
2025-03-03 00:00:00+07:00,26.25,27.25,25.75,26.5,12239682,0.0,2025-03-03
2025-03-10 00:00:00+07:00,26.5,27.25,26.5,27.25,16259917,0.0,2025-03-10
2025-03-17 00:00:00+07:00,26.0,26.5,25.75,26.25,13138512,0.0,2025-03-17
2025-03-24 00:00:00+07:00,26.0,26.0,25.25,25.75,4828336,0.0,2025-03-24
2025-03-31 00:00:00+07:00,25.25,25.5,24.5,24.5,5902971,0.0,2025-03-31
2025-04-08 00:00:00+07:00,23.6,25.75,22.5,24.9,15192960,0.0,2025-04-08
2025-04-16 00:00:00+07:00,24.7,26.0,24.7,25.75,5030664,0.0,2025-04-16
2025-04-21 00:00:00+07:00,25.75,26.5,25.0,26.25,11464712,0.0,2025-04-21
2025-04-28 00:00:00+07:00,26.0,27.0,26.0,26.5,5830468,0.0,2025-04-28
2025-05-06 00:00:00+07:00,26.5,27.5,26.25,27.5,8724722,0.0,2025-05-06
2025-05-13 00:00:00+07:00,27.75,28.0,26.0,26.25,7028623,0.0,2025-05-13
2025-05-19 00:00:00+07:00,26.0,26.75,25.75,26.25,7817120,0.0,2025-05-19
2025-05-26 00:00:00+07:00,26.0,26.25,25.25,25.5,10417566,0.0,2025-05-26
2025-06-04 00:00:00+07:00,25.5,26.0,25.25,25.75,2854646,0.0,2025-06-04
2025-06-09 00:00:00+07:00,25.75,26.0,24.4,24.7,8889876,0.0,2025-06-09
2025-06-16 00:00:00+07:00,24.7,25.0,24.2,24.3,17106157,0.0,2025-06-16
2025-06-23 00:00:00+07:00,24.1,25.25,24.0,24.2,11649566,0.0,2025-06-23
2025-06-30 00:00:00+07:00,24.3,25.25,24.0,24.8,13808523,0.0,2025-06-30
2025-07-07 00:00:00+07:00,24.8,24.9,24.2,24.7,7323890,0.0,2025-07-07
2025-07-14 00:00:00+07:00,24.7,26.0,24.7,25.5,9699206,0.0,2025-07-14
2025-07-21 00:00:00+07:00,25.75,26.0,25.0,25.5,11826626,0.0,2025-07-21
2025-07-29 00:00:00+07:00,25.25,26.5,25.25,26.0,11965538,0.0,2025-07-29
2025-08-04 00:00:00+07:00,26.25,27.25,25.5,26.75,15960181,0.0,2025-08-04
2025-08-13 00:00:00+07:00,26.75,26.75,26.0,26.5,5326235,0.0,2025-08-13
2025-08-18 00:00:00+07:00,26.5,26.75,25.75,26.5,12199796,0.0,2025-08-18
2025-08-25 00:00:00+07:00,26.75,27.25,26.75,27.0,15973594,0.0,2025-08-25
2025-09-01 00:00:00+07:00,27.0,27.5,25.5,26.0,17183169,0.0,2025-09-01
2025-09-08 00:00:00+07:00,26.0,26.75,25.75,26.5,5772708,0.0,2025-09-08
2025-09-15 00:00:00+07:00,26.5,26.75,26.0,26.0,9766736,0.0,2025-09-15
2025-09-22 00:00:00+07:00,26.0,26.25,25.5,26.0,7099176,0.0,2025-09-22
2025-09-29 00:00:00+07:00,26.0,26.25,25.5,26.0,5421988,0.0,2025-09-29
2025-10-06 00:00:00+07:00,26.0,28.5,25.75,28.0,26195905,0.0,2025-10-06
2025-10-14 00:00:00+07:00,28.25,29.5,27.25,28.75,21328013,0.0,2025-10-14
2025-10-20 00:00:00+07:00,29.0,29.25,28.0,28.0,10465579,0.0,2025-10-20
2025-10-27 00:00:00+07:00,28.25,28.75,27.25,27.75,10418214,30028025.0,2025-10-27
