time,open,high,low,close,volume,value,date
2024-11-01 00:00:00+07:00,25.75,29.5,25.0,28.25,104117439,0.0,2024-11-01
2024-12-01 00:00:00+07:00,28.25,29.75,27.0,28.25,36329055,0.0,2024-12-01
2025-01-01 00:00:00+07:00,27.75,28.5,24.0,24.0,32712397,0.0,2025-01-01
2025-02-01 00:00:00+07:00,23.6,27.25,21.7,24.4,56503611,0.0,2025-02-01
2025-03-01 00:00:00+07:00,24.7,25.5,22.9,23.5,56867491,0.0,2025-03-01
2025-04-01 00:00:00+07:00,23.6,23.8,18.2,22.9,56958596,0.0,2025-04-01
2025-05-01 00:00:00+07:00,22.9,28.0,22.1,26.25,64228567,0.0,2025-05-01
2025-06-01 00:00:00+07:00,26.5,29.75,25.0,25.75,64152300,0.0,2025-06-01
2025-07-01 00:00:00+07:00,25.75,31.0,25.25,30.5,67869285,0.0,2025-07-01
2025-08-01 00:00:00+07:00,30.75,31.75,26.5,27.5,66163847,0.0,2025-08-01
2025-09-01 00:00:00+07:00,27.5,30.0,26.5,26.5,76784479,0.0,2025-09-01
2025-10-01 00:00:00+07:00,26.5,27.75,25.25,25.75,51548236,43877975.0,2025-10-01
