time,open,high,low,close,volume,value,date
2024-11-04 00:00:00+07:00,26.5,29.25,25.0,28.75,36782918,0.0,2024-11-04
2024-11-11 00:00:00+07:00,29.0,29.5,27.0,27.5,27214731,0.0,2024-11-11
2024-11-18 00:00:00+07:00,28.0,28.5,26.0,26.0,15792232,0.0,2024-11-18
2024-11-25 00:00:00+07:00,26.0,28.75,25.0,28.25,20171123,0.0,2024-11-25
2024-12-02 00:00:00+07:00,28.25,29.75,27.75,29.5,11800464,0.0,2024-12-02
2024-12-09 00:00:00+07:00,29.5,29.75,27.25,28.5,9656829,0.0,2024-12-09
2024-12-16 00:00:00+07:00,29.0,29.25,27.0,27.75,9351075,0.0,2024-12-16
2024-12-23 00:00:00+07:00,28.0,28.5,27.25,28.0,4907782,0.0,2024-12-23
2024-12-30 00:00:00+07:00,27.75,28.5,27.5,28.5,2601652,0.0,2024-12-30
2025-01-06 00:00:00+07:00,28.5,28.5,26.25,26.75,8042445,0.0,2025-01-06
2025-01-13 00:00:00+07:00,26.75,27.25,25.0,25.0,9348323,0.0,2025-01-13
2025-01-20 00:00:00+07:00,25.0,25.75,24.2,25.0,6093748,0.0,2025-01-20
2025-01-27 00:00:00+07:00,25.0,25.5,24.0,24.0,7239134,0.0,2025-01-27
2025-02-03 00:00:00+07:00,23.6,23.8,21.7,22.4,11340725,0.0,2025-02-03
2025-02-10 00:00:00+07:00,22.9,25.5,22.3,24.8,11733638,0.0,2025-02-10
2025-02-17 00:00:00+07:00,24.4,27.25,24.2,26.75,15342500,0.0,2025-02-17
2025-02-24 00:00:00+07:00,26.75,26.75,24.4,24.4,18086748,0.0,2025-02-24
2025-03-03 00:00:00+07:00,24.7,24.9,23.8,24.5,16203932,0.0,2025-03-03
2025-03-10 00:00:00+07:00,24.9,25.5,23.1,23.7,20218953,0.0,2025-03-10
2025-03-17 00:00:00+07:00,23.8,24.6,23.3,23.6,12661139,0.0,2025-03-17
2025-03-24 00:00:00+07:00,23.7,24.2,23.3,23.3,5332162,0.0,2025-03-24
2025-03-31 00:00:00+07:00,23.2,23.7,20.3,20.6,12545838,0.0,2025-03-31
2025-04-08 00:00:00+07:00,18.2,23.5,18.2,22.5,24674334,0.0,2025-04-08
2025-04-16 00:00:00+07:00,22.7,23.8,22.5,23.4,8998735,0.0,2025-04-16
2025-04-21 00:00:00+07:00,23.5,23.5,22.6,22.9,7092047,0.0,2025-04-21
2025-04-28 00:00:00+07:00,23.1,23.5,22.5,22.9,7260767,0.0,2025-04-28
2025-05-06 00:00:00+07:00,23.0,25.5,22.1,24.6,18463760,0.0,2025-05-06
2025-05-13 00:00:00+07:00,25.25,26.75,25.0,26.5,16464521,0.0,2025-05-13
2025-05-19 00:00:00+07:00,26.75,28.0,26.5,27.75,16915098,0.0,2025-05-19
2025-05-26 00:00:00+07:00,27.75,28.0,26.0,26.25,11223368,0.0,2025-05-26
2025-06-04 00:00:00+07:00,26.5,29.75,26.5,29.5,14596043,0.0,2025-06-04
2025-06-09 00:00:00+07:00,29.25,29.5,27.75,28.25,15084458,0.0,2025-06-09
2025-06-16 00:00:00+07:00,28.25,28.75,26.0,26.0,16178404,0.0,2025-06-16
2025-06-23 00:00:00+07:00,26.75,27.0,25.25,25.25,15317980,0.0,2025-06-23
2025-06-30 00:00:00+07:00,25.5,28.0,25.0,27.75,13559629,0.0,2025-06-30
2025-07-07 00:00:00+07:00,27.5,29.5,27.0,29.25,13354824,0.0,2025-07-07
2025-07-14 00:00:00+07:00,29.25,31.0,28.25,29.75,22150240,0.0,2025-07-14
2025-07-21 00:00:00+07:00,30.0,30.25,29.0,29.75,13450842,0.0,2025-07-21
2025-07-29 00:00:00+07:00,29.75,30.75,29.25,29.25,11472223,0.0,2025-07-29
2025-08-04 00:00:00+07:00,29.25,31.75,28.5,31.25,18393808,0.0,2025-08-04
2025-08-13 00:00:00+07:00,31.0,31.0,28.0,28.25,14994197,0.0,2025-08-13
2025-08-18 00:00:00+07:00,28.0,28.25,26.5,26.75,16065523,0.0,2025-08-18
2025-08-25 00:00:00+07:00,27.0,29.0,26.75,27.5,13567261,0.0,2025-08-25
2025-09-01 00:00:00+07:00,27.5,27.75,26.75,27.25,11004102,0.0,2025-09-01
2025-09-08 00:00:00+07:00,27.25,30.0,26.5,29.0,28245729,0.0,2025-09-08
2025-09-15 00:00:00+07:00,29.0,29.0,27.0,27.5,15929631,0.0,2025-09-15
2025-09-22 00:00:00+07:00,27.5,27.75,26.5,27.0,16696039,0.0,2025-09-22
2025-09-29 00:00:00+07:00,27.0,27.0,26.0,26.25,10683153,0.0,2025-09-29
2025-10-06 00:00:00+07:00,26.25,27.25,26.0,26.5,10876032,0.0,2025-10-06
2025-10-14 00:00:00+07:00,27.0,27.75,25.75,26.0,18411328,0.0,2025-10-14
2025-10-20 00:00:00+07:00,26.0,26.25,25.25,25.75,8387770,0.0,2025-10-20
2025-10-27 00:00:00+07:00,26.0,26.75,25.5,25.75,8098931,43877975.0,2025-10-27
