time,open,high,low,close,volume,value,date
2024-11-01 00:00:00+07:00,67.75,83.0,67.25,79.5,29590075,0.0,2024-11-01
2024-12-01 00:00:00+07:00,79.75,81.75,65.75,67.75,17242571,0.0,2024-12-01
2025-01-01 00:00:00+07:00,68.0,68.25,54.25,55.0,12548870,0.0,2025-01-01
2025-02-01 00:00:00+07:00,54.25,57.0,44.25,45.25,19663818,0.0,2025-02-01
2025-03-01 00:00:00+07:00,46.0,46.25,33.5,34.75,42810842,0.0,2025-03-01
2025-04-01 00:00:00+07:00,34.75,38.75,33.0,35.25,22129721,0.0,2025-04-01
2025-05-01 00:00:00+07:00,35.25,35.75,29.0,29.25,15886431,0.0,2025-05-01
2025-06-01 00:00:00+07:00,29.25,31.5,27.5,28.5,11580672,0.0,2025-06-01
2025-07-01 00:00:00+07:00,29.0,40.5,28.5,38.75,31121546,0.0,2025-07-01
2025-08-01 00:00:00+07:00,39.25,41.75,32.0,32.5,27811105,0.0,2025-08-01
2025-09-01 00:00:00+07:00,32.5,36.0,32.0,35.0,11873837,0.0,2025-09-01
2025-10-01 00:00:00+07:00,36.0,39.0,34.5,36.25,10783535,1825850.0,2025-10-01
