time,open,high,low,close,volume,value
2025-08-01 09:00:00+07:00,20.6,20.6,20.6,20.6,698100,0.0
2025-08-01 10:00:00+07:00,20.5,20.6,20.0,20.3,8383600,0.0
2025-08-01 11:00:00+07:00,20.3,20.4,20.3,20.3,739700,0.0
2025-08-01 12:00:00+07:00,20.3,20.3,20.1,20.2,1372000,0.0
2025-08-01 13:00:00+07:00,20.2,20.2,20.1,20.1,75000,0.0
2025-08-01 14:00:00+07:00,20.1,20.3,20.1,20.1,2250000,0.0
2025-08-01 15:00:00+07:00,20.1,20.2,19.5,19.5,7353600,0.0
2025-08-01 16:00:00+07:00,19.6,19.6,19.4,19.4,4962800,0.0
2025-08-04 09:00:00+07:00,19.5,19.5,19.5,19.5,510500,0.0
2025-08-04 10:00:00+07:00,19.5,19.6,19.2,19.5,4468000,0.0
2025-08-04 11:00:00+07:00,19.5,19.5,19.3,19.3,581700,0.0
2025-08-04 12:00:00+07:00,19.4,19.4,19.2,19.2,643700,0.0
2025-08-04 13:00:00+07:00,19.2,19.3,19.2,19.3,203500,0.0
2025-08-04 14:00:00+07:00,19.4,19.7,19.4,19.6,5487600,0.0
2025-08-04 15:00:00+07:00,19.6,19.7,19.5,19.7,2226100,0.0
2025-08-04 16:00:00+07:00,19.7,19.7,19.5,19.6,1976800,0.0
2025-08-05 09:00:00+07:00,20.0,20.0,19.9,19.9,809100,0.0
2025-08-05 10:00:00+07:00,19.9,20.6,19.9,20.2,11171600,0.0
2025-08-05 11:00:00+07:00,20.2,20.5,20.1,20.3,3505600,0.0
2025-08-05 12:00:00+07:00,20.3,20.5,20.3,20.4,1777900,0.0
2025-08-05 13:00:00+07:00,20.4,20.6,20.4,20.6,2769500,0.0
2025-08-05 14:00:00+07:00,20.7,21.1,20.7,20.8,10862600,0.0
2025-08-05 15:00:00+07:00,20.8,21.0,20.8,21.0,4640300,0.0
2025-08-05 16:00:00+07:00,21.0,21.1,20.8,21.0,3751000,0.0
2025-08-06 09:00:00+07:00,21.6,21.8,21.6,21.8,1836900,0.0
2025-08-06 10:00:00+07:00,21.8,23.1,21.8,22.5,28889700,0.0
2025-08-06 11:00:00+07:00,22.5,22.9,22.4,22.9,4635900,0.0
2025-08-06 12:00:00+07:00,22.9,22.9,22.7,22.8,2307200,0.0
2025-08-06 13:00:00+07:00,22.8,22.8,22.7,22.8,62100,0.0
2025-08-06 14:00:00+07:00,22.8,23.4,22.8,23.0,10592400,0.0
2025-08-06 15:00:00+07:00,23.0,23.0,22.5,22.7,4839400,0.0
2025-08-06 16:00:00+07:00,22.7,22.8,22.6,22.6,4969200,0.0
2025-08-07 09:00:00+07:00,22.7,22.7,22.6,22.7,952500,0.0
