time,open,high,low,close,volume,value,date
2024-11-01 00:00:00+07:00,25.75,26.25,21.3,21.4,457459920,0.0,2024-11-01
2024-12-01 00:00:00+07:00,21.5,21.9,18.7,19.6,247999719,0.0,2024-12-01
2025-01-01 00:00:00+07:00,19.5,20.0,15.3,16.5,383937764,0.0,2025-01-01
2025-02-01 00:00:00+07:00,15.6,16.3,13.0,13.5,347981890,0.0,2025-02-01
2025-03-01 00:00:00+07:00,13.3,16.5,12.9,13.4,390090664,0.0,2025-03-01
2025-04-01 00:00:00+07:00,13.1,14.3,10.7,14.1,269746790,0.0,2025-04-01
2025-05-01 00:00:00+07:00,14.2,17.7,14.0,16.5,325808416,0.0,2025-05-01
2025-06-01 00:00:00+07:00,16.4,17.5,15.2,17.0,210283303,0.0,2025-06-01
2025-07-01 00:00:00+07:00,17.1,19.7,15.8,18.7,354858615,0.0,2025-07-01
2025-08-01 00:00:00+07:00,18.9,19.0,16.5,17.1,284375180,0.0,2025-08-01
2025-09-01 00:00:00+07:00,17.1,19.7,17.0,19.2,359408852,0.0,2025-09-01
2025-10-01 00:00:00+07:00,19.0,19.1,16.8,18.2,183418064,105632070.0,2025-10-01
