time,open,high,low,close,volume,value,date
2024-11-04 00:00:00+07:00,34.75,34.75,30.75,31.0,9951344,0.0,2024-11-04
2024-11-11 00:00:00+07:00,31.0,32.75,30.0,31.5,8966095,0.0,2024-11-11
2024-11-18 00:00:00+07:00,31.5,32.25,31.0,32.0,2348933,0.0,2024-11-18
2024-11-25 00:00:00+07:00,32.0,32.0,31.0,31.25,2965521,0.0,2024-11-25
2024-12-02 00:00:00+07:00,31.25,32.0,30.75,31.0,2777977,0.0,2024-12-02
2024-12-09 00:00:00+07:00,31.0,31.0,29.25,29.5,7316349,0.0,2024-12-09
2024-12-16 00:00:00+07:00,29.75,30.25,29.5,30.25,4975578,0.0,2024-12-16
2024-12-23 00:00:00+07:00,30.0,31.25,29.5,30.75,4715471,0.0,2024-12-23
2024-12-30 00:00:00+07:00,30.75,31.5,29.75,30.75,3819230,0.0,2024-12-30
2025-01-06 00:00:00+07:00,30.75,31.0,27.75,27.75,9138282,0.0,2025-01-06
2025-01-13 00:00:00+07:00,27.75,27.75,22.8,25.5,57057611,0.0,2025-01-13
2025-01-20 00:00:00+07:00,25.75,26.5,25.25,25.25,10627686,0.0,2025-01-20
2025-01-27 00:00:00+07:00,25.25,26.5,25.0,25.5,6039317,0.0,2025-01-27
2025-02-03 00:00:00+07:00,25.0,26.25,24.2,25.25,17938397,0.0,2025-02-03
2025-02-10 00:00:00+07:00,24.8,27.0,24.8,25.75,10944939,0.0,2025-02-10
2025-02-17 00:00:00+07:00,25.5,25.75,22.3,22.9,19867363,0.0,2025-02-17
2025-02-24 00:00:00+07:00,23.2,23.3,20.7,21.3,12883571,0.0,2025-02-24
2025-03-03 00:00:00+07:00,21.4,21.6,19.8,20.7,12553218,0.0,2025-03-03
2025-03-10 00:00:00+07:00,20.7,21.0,17.6,18.6,40264211,0.0,2025-03-10
2025-03-17 00:00:00+07:00,18.7,18.7,17.6,17.8,14266374,0.0,2025-03-17
2025-03-24 00:00:00+07:00,17.9,17.9,16.4,16.4,14402396,0.0,2025-03-24
2025-03-31 00:00:00+07:00,16.3,17.4,15.9,17.0,15752657,0.0,2025-03-31
2025-04-08 00:00:00+07:00,16.5,19.4,16.3,18.9,15686062,0.0,2025-04-08
2025-04-16 00:00:00+07:00,19.0,19.6,18.6,19.5,5405851,0.0,2025-04-16
2025-04-21 00:00:00+07:00,19.6,19.6,17.8,18.4,13563922,0.0,2025-04-21
2025-04-28 00:00:00+07:00,18.5,19.2,17.1,18.6,15564823,0.0,2025-04-28
2025-05-06 00:00:00+07:00,18.6,19.6,17.3,17.6,18079959,0.0,2025-05-06
2025-05-13 00:00:00+07:00,18.0,18.7,17.3,18.3,13369482,0.0,2025-05-13
2025-05-19 00:00:00+07:00,18.3,18.3,16.3,16.5,13145611,0.0,2025-05-19
2025-05-26 00:00:00+07:00,16.4,16.6,14.8,14.8,14089600,0.0,2025-05-26
2025-06-04 00:00:00+07:00,14.9,15.3,14.3,15.0,8020292,0.0,2025-06-04
2025-06-09 00:00:00+07:00,15.0,15.2,14.4,14.5,4105960,0.0,2025-06-09
2025-06-16 00:00:00+07:00,14.6,14.6,13.6,13.7,4105519,0.0,2025-06-16
2025-06-23 00:00:00+07:00,13.6,15.2,13.3,14.3,12616899,0.0,2025-06-23
2025-06-30 00:00:00+07:00,14.4,15.4,13.9,15.1,13552259,0.0,2025-06-30
2025-07-07 00:00:00+07:00,15.0,15.4,14.5,14.6,6862574,0.0,2025-07-07
2025-07-14 00:00:00+07:00,14.5,16.3,14.4,15.8,14356774,0.0,2025-07-14
2025-07-21 00:00:00+07:00,15.9,16.2,15.0,15.4,11068311,0.0,2025-07-21
2025-07-29 00:00:00+07:00,15.4,16.1,14.9,15.0,14481117,0.0,2025-07-29
2025-08-04 00:00:00+07:00,15.1,16.5,14.7,15.4,46795638,0.0,2025-08-04
2025-08-13 00:00:00+07:00,15.5,15.6,14.7,15.3,15931602,0.0,2025-08-13
2025-08-18 00:00:00+07:00,15.3,15.7,14.1,14.2,28377300,0.0,2025-08-18
2025-08-25 00:00:00+07:00,14.3,15.6,14.3,14.7,36516058,0.0,2025-08-25
2025-09-01 00:00:00+07:00,14.8,14.9,13.6,14.0,55157585,0.0,2025-09-01
2025-09-08 00:00:00+07:00,14.2,14.3,13.7,13.8,33442408,0.0,2025-09-08
2025-09-15 00:00:00+07:00,13.8,14.7,13.5,13.7,62044895,0.0,2025-09-15
2025-09-22 00:00:00+07:00,13.7,13.8,12.4,13.0,50931337,0.0,2025-09-22
2025-09-29 00:00:00+07:00,13.0,13.1,12.3,12.3,16636384,0.0,2025-09-29
2025-10-06 00:00:00+07:00,12.3,12.9,12.2,12.5,12335629,0.0,2025-10-06
2025-10-14 00:00:00+07:00,12.5,12.5,11.6,11.6,13805851,0.0,2025-10-14
2025-10-20 00:00:00+07:00,11.7,12.3,11.7,11.9,9730621,0.0,2025-10-20
2025-10-27 00:00:00+07:00,12.0,12.3,11.4,11.8,11573452,22854160.0,2025-10-27
