time,open,high,low,close,volume,value,date
2024-10-31 00:00:00+07:00,11.5,11.9,11.5,11.8,1285042,0.0,2024-10-31
2024-11-01 00:00:00+07:00,11.8,12.1,11.5,11.6,4873223,0.0,2024-11-01
2024-11-04 00:00:00+07:00,11.7,11.9,11.7,11.8,1109234,0.0,2024-11-04
2024-11-05 00:00:00+07:00,11.9,11.9,11.6,11.8,1809204,0.0,2024-11-05
2024-11-06 00:00:00+07:00,11.8,11.8,11.2,11.4,1581456,0.0,2024-11-06
2024-11-07 00:00:00+07:00,11.2,11.4,11.2,11.2,968859,0.0,2024-11-07
2024-11-08 00:00:00+07:00,11.3,11.4,11.1,11.3,1060907,0.0,2024-11-08
2024-11-11 00:00:00+07:00,11.3,11.4,10.8,10.9,2137446,0.0,2024-11-11
2024-11-12 00:00:00+07:00,10.9,11.0,10.6,10.7,1639701,0.0,2024-11-12
2024-11-13 00:00:00+07:00,11.2,12.1,11.2,11.9,8373051,0.0,2024-11-13
2024-11-14 00:00:00+07:00,11.9,12.0,11.6,11.9,2935959,0.0,2024-11-14
2024-11-15 00:00:00+07:00,11.9,12.4,11.7,12.1,6032240,0.0,2024-11-15
2024-11-18 00:00:00+07:00,12.3,12.3,11.9,11.9,3055745,0.0,2024-11-18
2024-11-19 00:00:00+07:00,12.1,12.2,11.5,11.7,5776129,0.0,2024-11-19
2024-11-20 00:00:00+07:00,11.7,11.9,11.4,11.5,1906675,0.0,2024-11-20
2024-11-21 00:00:00+07:00,11.4,11.7,11.2,11.7,2954081,0.0,2024-11-21
2024-11-22 00:00:00+07:00,11.6,11.8,11.5,11.6,1304412,0.0,2024-11-22
2024-11-25 00:00:00+07:00,11.6,11.7,11.4,11.6,1358615,0.0,2024-11-25
2024-11-26 00:00:00+07:00,11.6,11.9,11.5,11.5,1859482,0.0,2024-11-26
2024-11-27 00:00:00+07:00,11.6,11.6,11.4,11.6,1514281,0.0,2024-11-27
2024-11-28 00:00:00+07:00,11.5,11.6,11.3,11.5,1176369,0.0,2024-11-28
2024-11-29 00:00:00+07:00,11.5,11.7,11.4,11.7,1012668,0.0,2024-11-29
2024-12-02 00:00:00+07:00,11.6,11.6,11.4,11.5,978926,0.0,2024-12-02
2024-12-03 00:00:00+07:00,11.6,11.7,11.4,11.5,1060720,0.0,2024-12-03
2024-12-04 00:00:00+07:00,11.4,11.5,11.2,11.5,2553640,0.0,2024-12-04
2024-12-06 00:00:00+07:00,11.5,11.5,11.2,11.3,1765257,0.0,2024-12-06
2024-12-09 00:00:00+07:00,11.2,11.3,10.8,11.2,2886497,0.0,2024-12-09
2024-12-11 00:00:00+07:00,11.1,11.3,11.0,11.0,534801,0.0,2024-12-11
2024-12-12 00:00:00+07:00,11.1,11.2,10.9,10.9,1097679,0.0,2024-12-12
2024-12-13 00:00:00+07:00,10.9,10.9,10.6,10.7,1920335,0.0,2024-12-13
