time,open,high,low,close,volume,value,date
2024-11-04 00:00:00+07:00,11.7,11.9,11.1,11.3,6529660,0.0,2024-11-04
2024-11-11 00:00:00+07:00,11.3,12.4,10.6,12.1,21118397,0.0,2024-11-11
2024-11-18 00:00:00+07:00,12.3,12.3,11.2,11.6,14997042,0.0,2024-11-18
2024-11-25 00:00:00+07:00,11.6,11.9,11.3,11.7,6921415,0.0,2024-11-25
2024-12-02 00:00:00+07:00,11.6,11.7,11.2,11.3,6358543,0.0,2024-12-02
2024-12-09 00:00:00+07:00,11.2,11.3,10.6,10.7,6439312,0.0,2024-12-09
2024-12-16 00:00:00+07:00,10.8,10.8,10.0,10.3,4503055,0.0,2024-12-16
2024-12-23 00:00:00+07:00,10.3,10.5,9.8,10.1,12799884,0.0,2024-12-23
2024-12-30 00:00:00+07:00,10.1,10.7,10.0,10.1,5172492,0.0,2024-12-30
2025-01-06 00:00:00+07:00,10.1,10.2,9.2,9.5,9932433,0.0,2025-01-06
2025-01-13 00:00:00+07:00,9.5,9.5,8.9,8.9,5554795,0.0,2025-01-13
2025-01-20 00:00:00+07:00,9.0,9.1,8.8,8.85,7328542,0.0,2025-01-20
2025-01-27 00:00:00+07:00,8.85,9.05,8.05,8.4,8441909,0.0,2025-01-27
2025-02-03 00:00:00+07:00,8.2,8.3,7.2,7.55,8778406,0.0,2025-02-03
2025-02-10 00:00:00+07:00,7.5,7.8,7.2,7.4,8562558,0.0,2025-02-10
2025-02-17 00:00:00+07:00,7.55,7.9,7.2,7.3,13940172,0.0,2025-02-17
2025-02-24 00:00:00+07:00,7.3,7.3,6.6,6.75,14944492,0.0,2025-02-24
2025-03-03 00:00:00+07:00,6.75,7.25,6.45,7.1,11193489,0.0,2025-03-03
2025-03-10 00:00:00+07:00,7.15,7.3,6.75,7.3,9510732,0.0,2025-03-10
2025-03-17 00:00:00+07:00,7.3,7.3,6.85,7.2,6720250,0.0,2025-03-17
2025-03-24 00:00:00+07:00,7.3,7.6,7.05,7.05,8704771,0.0,2025-03-24
2025-03-31 00:00:00+07:00,6.9,7.3,6.65,6.85,9268500,0.0,2025-03-31
2025-04-08 00:00:00+07:00,6.6,6.75,5.75,6.45,10707768,0.0,2025-04-08
2025-04-16 00:00:00+07:00,6.45,7.1,6.45,7.1,3638842,0.0,2025-04-16
2025-04-21 00:00:00+07:00,7.25,7.35,6.95,7.2,8477001,0.0,2025-04-21
2025-04-28 00:00:00+07:00,7.2,8.4,7.2,8.15,9612319,0.0,2025-04-28
2025-05-06 00:00:00+07:00,8.15,8.4,7.65,8.35,9506790,0.0,2025-05-06
2025-05-13 00:00:00+07:00,8.45,8.6,7.9,8.25,8233941,0.0,2025-05-13
2025-05-19 00:00:00+07:00,8.2,9.0,8.2,8.5,15872074,0.0,2025-05-19
2025-05-26 00:00:00+07:00,8.55,8.75,8.3,8.6,8751624,0.0,2025-05-26
2025-06-04 00:00:00+07:00,8.65,8.8,8.5,8.7,10220413,0.0,2025-06-04
2025-06-09 00:00:00+07:00,8.7,9.2,8.55,9.0,24851269,0.0,2025-06-09
2025-06-16 00:00:00+07:00,9.0,9.0,7.8,8.0,8041827,0.0,2025-06-16
2025-06-23 00:00:00+07:00,7.95,8.1,7.7,7.7,5393130,0.0,2025-06-23
2025-06-30 00:00:00+07:00,7.75,8.2,7.7,8.15,4372446,0.0,2025-06-30
2025-07-07 00:00:00+07:00,8.1,8.15,7.9,8.15,2493435,0.0,2025-07-07
2025-07-14 00:00:00+07:00,8.15,8.5,7.7,7.85,17394486,0.0,2025-07-14
2025-07-21 00:00:00+07:00,7.9,8.15,7.8,7.8,9445042,0.0,2025-07-21
2025-07-29 00:00:00+07:00,7.8,8.6,7.75,8.3,18377292,0.0,2025-07-29
2025-08-04 00:00:00+07:00,8.45,9.15,8.15,9.0,10244817,0.0,2025-08-04
2025-08-13 00:00:00+07:00,9.05,9.55,8.75,9.55,12145962,0.0,2025-08-13
2025-08-18 00:00:00+07:00,9.6,10.4,9.05,10.3,20551263,0.0,2025-08-18
2025-08-25 00:00:00+07:00,10.3,10.4,9.8,10.2,6282332,0.0,2025-08-25
2025-09-01 00:00:00+07:00,10.3,10.4,9.9,10.2,5528901,0.0,2025-09-01
2025-09-08 00:00:00+07:00,10.4,10.7,10.1,10.6,9853901,0.0,2025-09-08
2025-09-15 00:00:00+07:00,10.6,10.8,9.95,10.1,8436616,0.0,2025-09-15
2025-09-22 00:00:00+07:00,10.0,10.2,9.55,9.85,7522772,0.0,2025-09-22
2025-09-29 00:00:00+07:00,9.8,9.85,9.3,9.3,5192090,0.0,2025-09-29
2025-10-06 00:00:00+07:00,9.25,9.25,8.65,8.9,7572759,0.0,2025-10-06
2025-10-14 00:00:00+07:00,8.85,8.9,8.4,8.55,8242127,0.0,2025-10-14
2025-10-20 00:00:00+07:00,8.6,8.65,8.2,8.25,4292511,0.0,2025-10-20
2025-10-27 00:00:00+07:00,8.3,8.35,7.95,8.3,5811168,6145830.0,2025-10-27
