time,open,high,low,close,volume,value
2025-08-01 09:00:00+07:00,8.55,8.55,8.55,8.55,124400,0.0
2025-08-01 10:00:00+07:00,8.6,8.6,8.5,8.6,776300,0.0
2025-08-01 11:00:00+07:00,8.55,8.6,8.55,8.55,30800,0.0
2025-08-01 12:00:00+07:00,8.55,8.55,8.5,8.5,290800,0.0
2025-08-01 13:00:00+07:00,8.45,8.45,8.45,8.45,24300,0.0
2025-08-01 14:00:00+07:00,8.45,8.45,8.45,8.45,265600,0.0
2025-08-01 15:00:00+07:00,8.45,8.45,8.35,8.4,378700,0.0
2025-08-01 16:00:00+07:00,8.35,8.35,8.25,8.3,293200,0.0
2025-08-04 09:00:00+07:00,8.45,8.45,8.4,8.4,17600,0.0
2025-08-04 10:00:00+07:00,8.35,8.4,8.15,8.4,453900,0.0
2025-08-04 11:00:00+07:00,8.35,8.4,8.35,8.4,62700,0.0
2025-08-04 12:00:00+07:00,8.4,8.4,8.35,8.4,6200,0.0
2025-08-04 13:00:00+07:00,8.4,8.4,8.4,8.4,1200,0.0
2025-08-04 14:00:00+07:00,8.4,8.4,8.35,8.4,173600,0.0
2025-08-04 15:00:00+07:00,8.4,8.45,8.4,8.45,100400,0.0
2025-08-04 16:00:00+07:00,8.45,8.45,8.35,8.35,273700,0.0
2025-08-05 09:00:00+07:00,8.4,8.4,8.4,8.4,13200,0.0
2025-08-05 10:00:00+07:00,8.4,8.5,8.35,8.5,350900,0.0
2025-08-05 11:00:00+07:00,8.5,8.55,8.5,8.55,223800,0.0
2025-08-05 12:00:00+07:00,8.55,8.55,8.5,8.5,78900,0.0
2025-08-05 13:00:00+07:00,8.6,8.6,8.6,8.6,8200,0.0
2025-08-05 14:00:00+07:00,8.6,8.7,8.6,8.65,646900,0.0
2025-08-05 15:00:00+07:00,8.65,8.7,8.6,8.65,322500,0.0
2025-08-05 16:00:00+07:00,8.6,8.65,8.6,8.65,245200,0.0
2025-08-06 09:00:00+07:00,8.7,8.7,8.7,8.7,104700,0.0
2025-08-06 10:00:00+07:00,8.7,8.95,8.65,8.85,1265500,0.0
2025-08-06 11:00:00+07:00,8.85,9.0,8.85,9.0,394800,0.0
2025-08-06 12:00:00+07:00,8.95,9.0,8.95,9.0,457900,0.0
2025-08-06 13:00:00+07:00,8.95,8.95,8.95,8.95,68400,0.0
2025-08-06 14:00:00+07:00,8.95,9.1,8.95,9.1,1391200,0.0
2025-08-06 15:00:00+07:00,9.1,9.15,9.0,9.05,658900,0.0
2025-08-06 16:00:00+07:00,9.05,9.05,9.0,9.0,732000,0.0
2025-08-07 09:00:00+07:00,9.05,9.05,9.05,9.05,42200,0.0
2025-08-07 10:00:00+07:00,9.05,9.1,8.9,9.1,540500,0.0
2025-08-07 11:00:00+07:00,9.1,9.1,9.0,9.0,119300,0.0
2025-08-07 12:00:00+07:00,9.0,9.0,8.95,9.0,37200,0.0
2025-08-07 13:00:00+07:00,9.05,9.05,9.05,9.05,2200,0.0
2025-08-07 14:00:00+07:00,9.0,9.0,8.9,8.95,173500,0.0
2025-08-07 15:00:00+07:00,8.9,8.95,8.9,8.9,126900,0.0
2025-08-07 16:00:00+07:00,8.95,8.95,8.9,8.95,106900,0.0
2025-08-08 09:00:00+07:00,8.95,9.05,8.95,9.0,238800,0.0
2025-08-08 10:00:00+07:00,9.0,9.1,8.95,9.05,278600,0.0
2025-08-08 11:00:00+07:00,9.05,9.05,9.0,9.0,180200,0.0
2025-08-08 12:00:00+07:00,9.0,9.0,9.0,9.0,600,0.0
2025-08-08 13:00:00+07:00,8.95,8.95,8.95,8.95,120800,0.0
2025-08-08 14:00:00+07:00,8.95,8.95,8.95,8.95,81200,0.0
2025-08-08 15:00:00+07:00,8.95,9.0,8.95,9.0,34100,0.0
2025-08-08 16:00:00+07:00,9.0,9.0,8.95,9.0,108900,0.0
2025-08-13 09:00:00+07:00,9.05,9.05,9.05,9.05,4000,0.0
2025-08-13 10:00:00+07:00,9.0,9.1,8.85,9.05,494200,0.0
2025-08-13 11:00:00+07:00,9.1,9.25,9.05,9.2,486000,0.0
2025-08-13 12:00:00+07:00,9.2,9.2,9.15,9.15,158400,0.0
2025-08-13 13:00:00+07:00,9.15,9.15,9.15,9.15,1300,0.0
2025-08-13 14:00:00+07:00,9.15,9.25,9.1,9.2,518800,0.0
2025-08-13 15:00:00+07:00,9.2,9.25,9.15,9.15,244600,0.0
2025-08-13 16:00:00+07:00,9.2,9.25,9.15,9.15,375600,0.0
2025-08-14 09:00:00+07:00,9.2,9.2,9.15,9.15,2100,0.0
2025-08-14 10:00:00+07:00,9.15,9.2,9.05,9.1,271900,0.0
2025-08-14 11:00:00+07:00,9.05,9.15,9.05,9.05,146200,0.0
2025-08-14 12:00:00+07:00,9.05,9.05,9.05,9.05,25700,0.0
2025-08-14 13:00:00+07:00,9.0,9.0,9.0,9.0,21500,0.0
2025-08-14 14:00:00+07:00,9.0,9.05,8.95,8.95,277100,0.0
2025-08-14 15:00:00+07:00,8.95,9.0,8.95,9.0,36700,0.0
2025-08-14 16:00:00+07:00,8.95,8.95,8.75,8.75,732900,0.0
2025-08-15 09:00:00+07:00,9.05,9.15,9.05,9.1,269300,0.0
2025-08-15 10:00:00+07:00,9.05,9.45,9.05,9.4,3050700,0.0
2025-08-15 11:00:00+07:00,9.45,9.55,9.3,9.3,1666600,0.0
2025-08-15 12:00:00+07:00,9.3,9.4,9.3,9.35,725300,0.0
2025-08-15 13:00:00+07:00,9.4,9.4,9.35,9.35,66500,0.0
2025-08-15 14:00:00+07:00,9.3,9.3,9.25,9.3,600400,0.0
2025-08-15 15:00:00+07:00,9.3,9.35,9.3,9.35,409900,0.0
2025-08-15 16:00:00+07:00,9.35,9.55,9.3,9.55,1559800,0.0
2025-08-18 09:00:00+07:00,9.6,9.65,9.6,9.6,202400,0.0
2025-08-18 10:00:00+07:00,9.6,9.6,9.35,9.35,1050700,0.0
2025-08-18 11:00:00+07:00,9.4,9.4,9.3,9.3,391700,0.0
2025-08-18 12:00:00+07:00,9.3,9.35,9.3,9.35,20800,0.0
2025-08-18 13:00:00+07:00,9.3,9.3,9.25,9.3,234700,0.0
2025-08-18 14:00:00+07:00,9.25,9.3,9.2,9.3,589600,0.0
2025-08-18 15:00:00+07:00,9.25,9.3,9.2,9.2,239400,0.0
2025-08-18 16:00:00+07:00,9.2,9.25,9.2,9.2,313900,0.0
2025-08-19 09:00:00+07:00,9.25,9.25,9.25,9.25,5700,0.0
2025-08-19 10:00:00+07:00,9.25,9.35,9.2,9.25,318200,0.0
2025-08-19 11:00:00+07:00,9.25,9.25,9.2,9.25,116000,0.0
2025-08-19 12:00:00+07:00,9.25,9.25,9.15,9.2,46800,0.0
2025-08-19 13:00:00+07:00,9.2,9.2,9.2,9.2,2100,0.0
2025-08-19 14:00:00+07:00,9.2,9.25,9.15,9.15,164200,0.0
2025-08-19 15:00:00+07:00,9.15,9.2,9.05,9.1,487000,0.0
2025-08-19 16:00:00+07:00,9.1,9.15,9.05,9.1,445200,0.0
2025-08-20 09:00:00+07:00,9.1,9.1,9.1,9.1,78100,0.0
2025-08-20 10:00:00+07:00,9.1,9.35,9.1,9.2,868400,0.0
2025-08-20 11:00:00+07:00,9.2,9.55,9.2,9.55,1253400,0.0
2025-08-20 12:00:00+07:00,9.55,9.55,9.45,9.55,459500,0.0
2025-08-20 13:00:00+07:00,9.55,9.55,9.55,9.55,46300,0.0
2025-08-20 14:00:00+07:00,9.55,9.75,9.55,9.6,2190200,0.0
2025-08-20 15:00:00+07:00,9.65,9.75,9.65,9.7,1764900,0.0
2025-08-20 16:00:00+07:00,9.7,9.7,9.65,9.7,763000,0.0
2025-08-21 09:00:00+07:00,9.8,9.85,9.75,9.8,320800,0.0
2025-08-21 10:00:00+07:00,9.8,10.2,9.75,10.1,2714600,0.0
2025-08-21 11:00:00+07:00,10.1,10.1,10.0,10.1,73500,0.0
2025-08-21 12:00:00+07:00,10.0,10.1,10.0,10.0,208000,0.0
2025-08-21 13:00:00+07:00,10.0,10.1,10.0,10.1,7800,0.0
2025-08-21 14:00:00+07:00,10.1,10.1,10.0,10.1,636600,0.0
2025-08-21 15:00:00+07:00,10.1,10.2,10.0,10.1,1387000,0.0
2025-08-21 16:00:00+07:00,10.1,10.1,10.0,10.1,1320000,0.0
2025-08-22 09:00:00+07:00,10.1,10.2,10.1,10.2,30300,0.0
2025-08-22 10:00:00+07:00,10.1,10.3,10.0,10.2,766200,0.0
2025-08-22 11:00:00+07:00,10.2,10.3,10.1,10.2,144500,0.0
2025-08-22 12:00:00+07:00,10.3,10.3,10.2,10.3,122000,0.0
2025-08-22 13:00:00+07:00,10.3,10.3,10.2,10.2,30300,0.0
2025-08-22 14:00:00+07:00,10.3,10.4,10.2,10.3,470100,0.0
2025-08-22 15:00:00+07:00,10.3,10.3,10.2,10.3,62300,0.0
2025-08-22 16:00:00+07:00,10.3,10.3,10.2,10.3,204100,0.0
2025-08-25 09:00:00+07:00,10.3,10.3,10.3,10.3,19000,0.0
2025-08-25 10:00:00+07:00,10.3,10.3,10.2,10.2,406000,0.0
2025-08-25 11:00:00+07:00,10.2,10.3,10.2,10.3,28300,0.0
2025-08-25 12:00:00+07:00,10.2,10.3,10.2,10.3,44500,0.0
