time,open,high,low,close,volume,value,date
2024-11-01 00:00:00+07:00,23.7,25.0,22.3,24.3,23962168,0.0,2024-11-01
2024-12-01 00:00:00+07:00,24.1,26.5,23.0,26.5,20940797,0.0,2024-12-01
2025-01-01 00:00:00+07:00,26.5,27.25,20.1,21.0,39867985,0.0,2025-01-01
2025-02-01 00:00:00+07:00,20.6,21.7,18.0,18.8,19396853,0.0,2025-02-01
2025-03-01 00:00:00+07:00,19.1,19.8,15.4,16.0,47504312,0.0,2025-03-01
2025-04-01 00:00:00+07:00,15.6,16.8,14.4,14.8,18782250,0.0,2025-04-01
2025-05-01 00:00:00+07:00,14.9,15.3,12.9,14.0,26147079,0.0,2025-05-01
2025-06-01 00:00:00+07:00,14.0,14.0,11.3,12.0,28122377,0.0,2025-06-01
2025-07-01 00:00:00+07:00,11.9,13.5,11.7,12.8,29045460,0.0,2025-07-01
2025-08-01 00:00:00+07:00,12.8,16.4,12.4,14.0,54812046,0.0,2025-08-01
2025-09-01 00:00:00+07:00,13.9,15.4,13.3,13.4,23853692,0.0,2025-09-01
2025-10-01 00:00:00+07:00,13.4,13.4,11.3,12.3,14895739,3034310.0,2025-10-01
