time,open,high,low,close,volume,value,date
2024-11-04 00:00:00+07:00,24.2,24.2,23.0,23.7,4637991,0.0,2024-11-04
2024-11-11 00:00:00+07:00,23.7,23.7,22.5,23.0,2410269,0.0,2024-11-11
2024-11-18 00:00:00+07:00,23.0,23.3,22.5,22.5,1581257,0.0,2024-11-18
2024-11-25 00:00:00+07:00,22.6,25.0,22.3,24.3,12002448,0.0,2024-11-25
2024-12-02 00:00:00+07:00,24.1,24.5,23.5,23.8,3734512,0.0,2024-12-02
2024-12-09 00:00:00+07:00,23.8,24.5,23.3,24.0,2537821,0.0,2024-12-09
2024-12-16 00:00:00+07:00,24.2,24.3,23.0,23.0,2018002,0.0,2024-12-16
2024-12-23 00:00:00+07:00,23.2,25.5,23.0,25.0,8796131,0.0,2024-12-23
2024-12-30 00:00:00+07:00,25.0,27.25,25.0,25.25,10148331,0.0,2024-12-30
2025-01-06 00:00:00+07:00,25.25,26.25,23.0,23.2,13838944,0.0,2025-01-06
2025-01-13 00:00:00+07:00,23.3,23.3,20.1,20.9,9183533,0.0,2025-01-13
2025-01-20 00:00:00+07:00,21.1,22.9,20.8,22.6,5396254,0.0,2025-01-20
2025-01-27 00:00:00+07:00,22.4,23.1,20.6,21.0,5155254,0.0,2025-01-27
2025-02-03 00:00:00+07:00,20.6,21.7,19.8,20.5,5324863,0.0,2025-02-03
2025-02-10 00:00:00+07:00,20.4,21.7,20.2,21.1,3813319,0.0,2025-02-10
2025-02-17 00:00:00+07:00,20.8,21.0,19.2,19.6,4503749,0.0,2025-02-17
2025-02-24 00:00:00+07:00,19.8,20.0,18.0,18.8,5754922,0.0,2025-02-24
2025-03-03 00:00:00+07:00,19.1,19.8,17.8,19.4,8607423,0.0,2025-03-03
2025-03-10 00:00:00+07:00,19.3,19.7,18.3,18.5,4201538,0.0,2025-03-10
2025-03-17 00:00:00+07:00,18.4,18.6,16.0,16.5,31807956,0.0,2025-03-17
2025-03-24 00:00:00+07:00,16.6,16.6,15.9,16.0,2193895,0.0,2025-03-24
2025-03-31 00:00:00+07:00,16.0,16.6,15.0,16.6,3531581,0.0,2025-03-31
2025-04-08 00:00:00+07:00,15.7,16.8,15.2,16.0,4527285,0.0,2025-04-08
2025-04-16 00:00:00+07:00,16.0,16.3,15.7,16.2,2000019,0.0,2025-04-16
2025-04-21 00:00:00+07:00,16.2,16.7,14.8,15.2,6300512,0.0,2025-04-21
2025-04-28 00:00:00+07:00,15.3,15.3,14.4,14.7,3813860,0.0,2025-04-28
2025-05-06 00:00:00+07:00,14.7,14.7,13.7,13.8,2882616,0.0,2025-05-06
2025-05-13 00:00:00+07:00,14.0,14.4,12.9,14.4,9042925,0.0,2025-05-13
2025-05-19 00:00:00+07:00,14.3,14.4,13.6,14.1,5499010,0.0,2025-05-19
2025-05-26 00:00:00+07:00,14.1,14.6,13.8,14.0,8025021,0.0,2025-05-26
2025-06-04 00:00:00+07:00,14.0,14.0,12.6,13.0,4870610,0.0,2025-06-04
2025-06-09 00:00:00+07:00,13.0,13.1,12.5,12.9,4176197,0.0,2025-06-09
2025-06-16 00:00:00+07:00,12.8,12.9,11.8,11.8,11731265,0.0,2025-06-16
2025-06-23 00:00:00+07:00,11.8,12.0,11.3,11.6,5938383,0.0,2025-06-23
2025-06-30 00:00:00+07:00,11.5,12.6,11.3,12.1,4815396,0.0,2025-06-30
2025-07-07 00:00:00+07:00,12.0,12.1,11.8,11.9,2382075,0.0,2025-07-07
2025-07-14 00:00:00+07:00,12.2,13.3,11.8,12.8,10103024,0.0,2025-07-14
2025-07-21 00:00:00+07:00,13.1,13.2,12.3,12.5,6215050,0.0,2025-07-21
2025-07-29 00:00:00+07:00,12.7,13.5,12.5,12.6,8361441,0.0,2025-07-29
2025-08-04 00:00:00+07:00,12.6,15.3,12.4,14.7,17072977,0.0,2025-08-04
2025-08-13 00:00:00+07:00,14.9,14.9,13.0,13.2,7421063,0.0,2025-08-13
2025-08-18 00:00:00+07:00,13.4,16.4,13.4,15.9,20145765,0.0,2025-08-18
2025-08-25 00:00:00+07:00,16.0,16.0,13.9,14.0,8746637,0.0,2025-08-25
2025-09-01 00:00:00+07:00,13.9,14.9,13.7,14.8,5754917,0.0,2025-09-01
2025-09-08 00:00:00+07:00,15.0,15.4,14.5,14.9,4489750,0.0,2025-09-08
2025-09-15 00:00:00+07:00,14.9,15.1,14.2,14.4,5759698,0.0,2025-09-15
2025-09-22 00:00:00+07:00,14.4,14.5,13.4,13.8,5033414,0.0,2025-09-22
2025-09-29 00:00:00+07:00,13.7,13.8,12.5,12.6,6875996,0.0,2025-09-29
2025-10-06 00:00:00+07:00,12.6,12.7,11.7,12.1,4499380,0.0,2025-10-06
2025-10-14 00:00:00+07:00,12.1,12.2,11.3,11.4,2326911,0.0,2025-10-14
2025-10-20 00:00:00+07:00,11.5,11.9,11.4,11.6,1018393,0.0,2025-10-20
2025-10-27 00:00:00+07:00,11.7,12.5,11.5,12.3,2990972,3034310.0,2025-10-27
