time,open,high,low,close,volume,value
2025-10-07 09:45:00+07:00,4.7,4.7,4.7,4.7,877200,0.0
2025-10-07 10:00:00+07:00,4.7,4.72,4.66,4.7,4379100,0.0
2025-10-07 10:15:00+07:00,4.7,4.72,4.7,4.72,105300,0.0
2025-10-07 10:30:00+07:00,4.72,4.72,4.7,4.7,153200,0.0
2025-10-07 10:45:00+07:00,4.72,4.72,4.7,4.72,1400400,0.0
2025-10-07 11:00:00+07:00,4.72,4.72,4.7,4.72,80500,0.0
2025-10-07 11:15:00+07:00,4.7,4.74,4.7,4.74,869100,0.0
2025-10-07 11:30:00+07:00,4.74,4.74,4.7,4.74,900600,0.0
2025-10-07 11:45:00+07:00,4.74,4.74,4.7,4.72,318400,0.0
2025-10-07 12:00:00+07:00,4.72,4.72,4.68,4.68,1623100,0.0
2025-10-07 12:15:00+07:00,4.7,4.7,4.68,4.7,82700,0.0
2025-10-07 13:45:00+07:00,4.7,4.7,4.68,4.68,785800,0.0
2025-10-07 14:00:00+07:00,4.68,4.7,4.66,4.68,2297000,0.0
2025-10-07 14:15:00+07:00,4.68,4.68,4.66,4.68,2989200,0.0
2025-10-07 14:30:00+07:00,4.68,4.68,4.66,4.68,210000,0.0
2025-10-07 14:45:00+07:00,4.68,4.68,4.66,4.68,150600,0.0
2025-10-07 15:00:00+07:00,4.68,4.68,4.66,4.66,201700,0.0
2025-10-07 15:15:00+07:00,4.66,4.68,4.66,4.68,247500,0.0
2025-10-07 15:30:00+07:00,4.66,4.68,4.66,4.66,685900,0.0
2025-10-07 15:45:00+07:00,4.68,4.68,4.66,4.68,196300,0.0
2025-10-07 16:00:00+07:00,4.68,4.68,4.64,4.66,3068000,0.0
2025-10-07 16:15:00+07:00,4.68,4.68,4.66,4.66,231600,0.0
2025-10-07 16:30:00+07:00,4.66,4.66,4.66,4.66,1499300,0.0
2025-10-08 09:45:00+07:00,4.66,4.68,4.66,4.66,809000,0.0
2025-10-08 10:00:00+07:00,4.66,4.68,4.64,4.66,2458700,0.0
2025-10-08 10:15:00+07:00,4.64,4.66,4.64,4.66,130600,0.0
