time,open,high,low,close,volume,value,date
2024-11-01 00:00:00+07:00,6.7,6.95,5.75,6.8,310729993,0.0,2024-11-01
2024-12-01 00:00:00+07:00,6.75,7.2,6.15,6.55,255104982,0.0,2024-12-01
2025-01-01 00:00:00+07:00,6.55,6.7,5.15,5.3,290018713,0.0,2025-01-01
2025-02-01 00:00:00+07:00,5.35,5.65,4.92,5.4,321399055,0.0,2025-02-01
2025-03-01 00:00:00+07:00,5.35,5.8,5.05,5.4,218279707,0.0,2025-03-01
2025-04-01 00:00:00+07:00,5.5,5.7,4.26,5.45,182157521,0.0,2025-04-01
2025-05-01 00:00:00+07:00,5.5,5.8,5.25,5.7,223821152,0.0,2025-05-01
2025-06-01 00:00:00+07:00,5.75,6.0,4.86,5.05,251431059,0.0,2025-06-01
2025-07-01 00:00:00+07:00,5.1,5.8,4.92,5.7,323896971,0.0,2025-07-01
2025-08-01 00:00:00+07:00,5.7,5.75,4.46,4.48,454442024,0.0,2025-08-01
2025-09-01 00:00:00+07:00,4.52,5.2,4.48,4.78,506679498,0.0,2025-09-01
2025-10-01 00:00:00+07:00,4.78,4.86,4.28,4.8,380939513,83185428.0,2025-10-01
