time,open,high,low,close,volume,value,date
2024-11-04 00:00:00+07:00,6.7,6.7,6.5,6.55,47760972,0.0,2024-11-04
2024-11-11 00:00:00+07:00,6.55,6.55,5.75,6.05,105131412,0.0,2024-11-11
2024-11-18 00:00:00+07:00,6.05,6.95,6.05,6.7,107030580,0.0,2024-11-18
2024-11-25 00:00:00+07:00,6.7,6.8,6.55,6.8,44981850,0.0,2024-11-25
2024-12-02 00:00:00+07:00,6.75,7.2,6.7,7.0,77987898,0.0,2024-12-02
2024-12-09 00:00:00+07:00,6.95,7.1,6.7,6.9,49005692,0.0,2024-12-09
2024-12-16 00:00:00+07:00,6.8,6.85,6.15,6.3,74239136,0.0,2024-12-16
2024-12-23 00:00:00+07:00,6.35,6.75,6.2,6.65,44478556,0.0,2024-12-23
2024-12-30 00:00:00+07:00,6.55,6.7,6.45,6.5,18225014,0.0,2024-12-30
2025-01-06 00:00:00+07:00,6.5,6.55,5.75,6.0,83725759,0.0,2025-01-06
2025-01-13 00:00:00+07:00,6.0,6.25,5.9,5.95,80779891,0.0,2025-01-13
2025-01-20 00:00:00+07:00,5.95,5.95,5.45,5.6,68774530,0.0,2025-01-20
2025-01-27 00:00:00+07:00,5.55,5.6,5.15,5.3,47907219,0.0,2025-01-27
2025-02-03 00:00:00+07:00,5.35,5.35,4.92,5.1,97845244,0.0,2025-02-03
2025-02-10 00:00:00+07:00,5.0,5.15,4.94,5.1,69672793,0.0,2025-02-10
2025-02-17 00:00:00+07:00,5.1,5.65,5.05,5.45,81311527,0.0,2025-02-17
2025-02-24 00:00:00+07:00,5.45,5.6,5.25,5.4,72569491,0.0,2025-02-24
2025-03-03 00:00:00+07:00,5.35,5.8,5.25,5.55,54873080,0.0,2025-03-03
2025-03-10 00:00:00+07:00,5.6,5.6,5.05,5.35,68191400,0.0,2025-03-10
2025-03-17 00:00:00+07:00,5.4,5.75,5.25,5.65,48467562,0.0,2025-03-17
2025-03-24 00:00:00+07:00,5.7,5.8,5.55,5.6,41563677,0.0,2025-03-24
2025-03-31 00:00:00+07:00,5.45,5.7,4.96,5.0,45346052,0.0,2025-03-31
2025-04-08 00:00:00+07:00,4.5,5.1,4.26,4.74,57782047,0.0,2025-04-08
2025-04-16 00:00:00+07:00,4.74,5.3,4.74,5.3,14285627,0.0,2025-04-16
2025-04-21 00:00:00+07:00,5.25,5.35,4.96,5.15,43857109,0.0,2025-04-21
2025-04-28 00:00:00+07:00,5.25,5.6,5.05,5.45,33947419,0.0,2025-04-28
2025-05-06 00:00:00+07:00,5.45,5.7,5.25,5.65,43386204,0.0,2025-05-06
2025-05-13 00:00:00+07:00,5.7,5.8,5.35,5.6,69643525,0.0,2025-05-13
2025-05-19 00:00:00+07:00,5.6,5.65,5.3,5.55,51100172,0.0,2025-05-19
2025-05-26 00:00:00+07:00,5.55,5.8,5.4,5.7,51814506,0.0,2025-05-26
2025-06-04 00:00:00+07:00,5.75,5.75,5.4,5.45,30433648,0.0,2025-06-04
2025-06-09 00:00:00+07:00,5.5,6.0,5.35,5.7,75920240,0.0,2025-06-09
2025-06-16 00:00:00+07:00,5.7,5.85,5.2,5.2,56429283,0.0,2025-06-16
2025-06-23 00:00:00+07:00,5.2,5.45,4.86,4.86,76420949,0.0,2025-06-23
2025-06-30 00:00:00+07:00,4.88,5.2,4.88,5.1,50054691,0.0,2025-06-30
2025-07-07 00:00:00+07:00,5.0,5.3,4.96,5.1,25979516,0.0,2025-07-07
2025-07-14 00:00:00+07:00,5.15,5.3,5.0,5.25,88484329,0.0,2025-07-14
2025-07-21 00:00:00+07:00,5.3,5.55,5.3,5.4,102372743,0.0,2025-07-21
2025-07-29 00:00:00+07:00,5.4,5.8,5.35,5.55,84230221,0.0,2025-07-29
2025-08-04 00:00:00+07:00,5.55,5.7,5.35,5.6,95474911,0.0,2025-08-04
2025-08-13 00:00:00+07:00,5.6,5.6,4.66,4.68,181256211,0.0,2025-08-13
2025-08-18 00:00:00+07:00,4.7,4.82,4.56,4.66,106898818,0.0,2025-08-18
2025-08-25 00:00:00+07:00,4.68,4.72,4.46,4.48,55814494,0.0,2025-08-25
2025-09-01 00:00:00+07:00,4.52,4.88,4.48,4.82,151058822,0.0,2025-09-01
2025-09-08 00:00:00+07:00,4.76,5.15,4.76,4.96,127921576,0.0,2025-09-08
2025-09-15 00:00:00+07:00,5.0,5.2,4.98,5.0,97714373,0.0,2025-09-15
2025-09-22 00:00:00+07:00,4.98,5.0,4.64,4.88,105103397,0.0,2025-09-22
2025-09-29 00:00:00+07:00,4.88,4.92,4.66,4.76,75144254,0.0,2025-09-29
2025-10-06 00:00:00+07:00,4.84,4.86,4.58,4.58,82642240,0.0,2025-10-06
2025-10-14 00:00:00+07:00,4.6,4.6,4.28,4.3,61460082,0.0,2025-10-14
2025-10-20 00:00:00+07:00,4.32,4.82,4.32,4.78,94353588,0.0,2025-10-20
2025-10-27 00:00:00+07:00,4.76,4.84,4.6,4.8,92220679,83185428.0,2025-10-27
