time,open,high,low,close,volume,value,date
2024-11-01 00:00:00+07:00,20.6,21.5,17.2,18.4,280773639,0.0,2024-11-01
2024-12-01 00:00:00+07:00,18.5,19.6,16.7,18.1,120702926,0.0,2024-12-01
2025-01-01 00:00:00+07:00,17.9,18.6,15.5,15.7,128451666,0.0,2025-01-01
2025-02-01 00:00:00+07:00,15.5,17.1,14.2,15.8,154487339,0.0,2025-02-01
2025-03-01 00:00:00+07:00,15.7,15.9,14.3,14.4,103169705,0.0,2025-03-01
2025-04-01 00:00:00+07:00,14.6,14.9,12.4,13.5,106753008,0.0,2025-04-01
2025-05-01 00:00:00+07:00,13.5,14.8,12.6,12.8,95300057,0.0,2025-05-01
2025-06-01 00:00:00+07:00,12.7,12.8,10.3,11.9,87309209,0.0,2025-06-01
2025-07-01 00:00:00+07:00,12.0,14.7,11.6,14.1,90616887,0.0,2025-07-01
2025-08-01 00:00:00+07:00,14.7,15.0,11.6,12.1,120096574,0.0,2025-08-01
2025-09-01 00:00:00+07:00,12.1,13.9,11.5,12.6,130904610,0.0,2025-09-01
2025-10-01 00:00:00+07:00,12.5,12.9,11.6,11.9,39613007,12296710.0,2025-10-01
