time,open,high,low,close,volume,value,date
2024-10-31 00:00:00+07:00,10.4,10.7,10.3,10.6,2267595,0.0,2024-10-31
2024-11-01 00:00:00+07:00,10.5,10.6,10.5,10.6,1220016,0.0,2024-11-01
2024-11-04 00:00:00+07:00,10.6,10.6,10.2,10.2,3288093,0.0,2024-11-04
2024-11-05 00:00:00+07:00,10.2,10.4,10.0,10.3,2405172,0.0,2024-11-05
2024-11-06 00:00:00+07:00,10.4,11.0,10.4,10.9,9867016,0.0,2024-11-06
2024-11-07 00:00:00+07:00,11.2,11.2,10.6,10.8,8975054,0.0,2024-11-07
2024-11-08 00:00:00+07:00,10.8,10.9,10.5,10.5,4406988,0.0,2024-11-08
2024-11-11 00:00:00+07:00,9.15,10.0,8.45,9.95,42727393,0.0,2024-11-11
2024-11-12 00:00:00+07:00,10.0,10.0,9.2,9.4,21048255,0.0,2024-11-12
2024-11-13 00:00:00+07:00,9.35,9.65,9.35,9.5,6324330,0.0,2024-11-13
2024-11-14 00:00:00+07:00,9.45,10.1,9.45,9.6,10552684,0.0,2024-11-14
2024-11-15 00:00:00+07:00,9.7,10.2,9.7,9.8,9060811,0.0,2024-11-15
2024-11-18 00:00:00+07:00,9.85,9.95,9.75,9.85,4729016,0.0,2024-11-18
2024-11-19 00:00:00+07:00,9.85,10.6,9.85,10.3,7899556,0.0,2024-11-19
2024-11-20 00:00:00+07:00,10.3,10.4,9.95,10.0,3046901,0.0,2024-11-20
2024-11-21 00:00:00+07:00,10.1,10.2,9.95,10.0,2546697,0.0,2024-11-21
2024-11-22 00:00:00+07:00,10.1,10.3,9.65,9.9,7120852,0.0,2024-11-22
2024-11-25 00:00:00+07:00,9.9,10.1,9.6,9.75,8941505,0.0,2024-11-25
2024-11-26 00:00:00+07:00,9.9,10.5,9.85,10.2,8472765,0.0,2024-11-26
2024-11-27 00:00:00+07:00,10.2,10.4,10.1,10.3,3085545,0.0,2024-11-27
2024-11-28 00:00:00+07:00,10.3,11.0,10.3,10.8,9612254,0.0,2024-11-28
2024-11-29 00:00:00+07:00,10.8,10.9,10.6,10.9,4264766,0.0,2024-11-29
2024-12-02 00:00:00+07:00,10.9,11.1,10.9,11.0,7201761,0.0,2024-12-02
2024-12-03 00:00:00+07:00,11.0,11.2,10.9,10.9,2644580,0.0,2024-12-03
2024-12-04 00:00:00+07:00,10.9,11.2,10.8,11.1,4027234,0.0,2024-12-04
2024-12-06 00:00:00+07:00,11.2,11.4,11.1,11.3,4548783,0.0,2024-12-06
2024-12-09 00:00:00+07:00,11.1,11.1,10.6,10.9,4384591,0.0,2024-12-09
2024-12-11 00:00:00+07:00,11.0,11.0,10.6,10.6,2682373,0.0,2024-12-11
2024-12-12 00:00:00+07:00,10.7,10.9,10.4,10.4,2985781,0.0,2024-12-12
2024-12-13 00:00:00+07:00,10.4,10.7,10.3,10.4,4349216,0.0,2024-12-13
2024-12-16 00:00:00+07:00,10.4,10.6,10.4,10.4,2973772,0.0,2024-12-16
2024-12-17 00:00:00+07:00,10.4,10.4,10.0,10.0,5933029,0.0,2024-12-17
2024-12-18 00:00:00+07:00,10.0,10.4,10.0,10.2,2940367,0.0,2024-12-18
2024-12-19 00:00:00+07:00,10.0,10.4,10.0,10.2,3134876,0.0,2024-12-19
2024-12-20 00:00:00+07:00,10.2,10.2,9.15,9.25,19322725,0.0,2024-12-20
2024-12-23 00:00:00+07:00,9.3,9.5,9.1,9.4,5712765,0.0,2024-12-23
2024-12-24 00:00:00+07:00,9.35,9.7,9.35,9.6,2862721,0.0,2024-12-24
2024-12-25 00:00:00+07:00,9.75,10.1,9.75,10.0,4571906,0.0,2024-12-25
2024-12-26 00:00:00+07:00,10.0,10.0,9.8,9.9,2592042,0.0,2024-12-26
2024-12-27 00:00:00+07:00,10.0,10.2,9.95,10.0,2962467,0.0,2024-12-27
2024-12-30 00:00:00+07:00,9.95,10.1,9.8,9.85,3765112,0.0,2024-12-30
