time,open,high,low,close,volume,value,date
2024-11-04 00:00:00+07:00,10.6,11.2,10.0,10.5,28942323,0.0,2024-11-04
2024-11-11 00:00:00+07:00,9.15,10.2,8.45,9.8,89713473,0.0,2024-11-11
2024-11-18 00:00:00+07:00,9.85,10.6,9.65,9.9,25343022,0.0,2024-11-18
2024-11-25 00:00:00+07:00,9.9,11.0,9.6,10.9,34376835,0.0,2024-11-25
2024-12-02 00:00:00+07:00,10.9,11.4,10.8,11.3,18422358,0.0,2024-12-02
2024-12-09 00:00:00+07:00,11.1,11.1,10.3,10.4,14401961,0.0,2024-12-09
2024-12-16 00:00:00+07:00,10.4,10.6,9.15,9.25,34304769,0.0,2024-12-16
2024-12-23 00:00:00+07:00,9.3,10.2,9.1,10.0,18701901,0.0,2024-12-23
2024-12-30 00:00:00+07:00,9.95,10.1,9.75,9.8,10845337,0.0,2024-12-30
2025-01-06 00:00:00+07:00,9.9,10.5,9.75,9.8,22387853,0.0,2025-01-06
2025-01-13 00:00:00+07:00,9.75,9.95,8.9,9.0,25955718,0.0,2025-01-13
2025-01-20 00:00:00+07:00,8.8,9.25,8.6,8.85,14579809,0.0,2025-01-20
2025-01-27 00:00:00+07:00,8.85,8.95,8.15,8.15,10814238,0.0,2025-01-27
2025-02-03 00:00:00+07:00,8.0,8.45,7.05,7.25,37573219,0.0,2025-02-03
2025-02-10 00:00:00+07:00,7.3,7.65,7.1,7.5,11847805,0.0,2025-02-10
2025-02-17 00:00:00+07:00,7.4,8.3,7.35,7.9,41736179,0.0,2025-02-17
2025-02-24 00:00:00+07:00,7.9,7.9,7.1,7.45,34913859,0.0,2025-02-24
2025-03-03 00:00:00+07:00,7.4,7.45,7.05,7.2,25396401,0.0,2025-03-03
2025-03-10 00:00:00+07:00,7.2,7.25,6.9,7.05,21941697,0.0,2025-03-10
2025-03-17 00:00:00+07:00,7.1,7.35,7.05,7.2,21291140,0.0,2025-03-17
2025-03-24 00:00:00+07:00,7.25,7.5,7.15,7.2,17397736,0.0,2025-03-24
2025-03-31 00:00:00+07:00,7.1,7.25,6.7,6.75,29359535,0.0,2025-03-31
2025-04-08 00:00:00+07:00,6.45,7.75,6.25,7.45,40694756,0.0,2025-04-08
2025-04-16 00:00:00+07:00,7.55,7.65,6.95,7.0,18314457,0.0,2025-04-16
2025-04-21 00:00:00+07:00,7.05,7.1,6.8,6.85,13305643,0.0,2025-04-21
2025-04-28 00:00:00+07:00,6.85,7.25,6.7,7.2,19383835,0.0,2025-04-28
2025-05-06 00:00:00+07:00,7.15,7.3,6.95,7.2,18322091,0.0,2025-05-06
2025-05-13 00:00:00+07:00,7.3,7.6,6.9,7.3,36071963,0.0,2025-05-13
2025-05-19 00:00:00+07:00,7.15,7.3,6.85,6.9,34402245,0.0,2025-05-19
2025-05-26 00:00:00+07:00,6.85,6.9,6.45,6.5,29705959,0.0,2025-05-26
2025-06-04 00:00:00+07:00,6.55,6.6,6.15,6.3,16699585,0.0,2025-06-04
2025-06-09 00:00:00+07:00,6.3,6.35,6.0,6.05,16539035,0.0,2025-06-09
2025-06-16 00:00:00+07:00,6.05,6.1,5.75,5.75,14270061,0.0,2025-06-16
2025-06-23 00:00:00+07:00,5.4,6.15,5.1,5.9,14446753,0.0,2025-06-23
2025-06-30 00:00:00+07:00,5.95,6.2,5.8,6.0,11298809,0.0,2025-06-30
2025-07-07 00:00:00+07:00,6.0,6.25,5.9,6.05,9863201,0.0,2025-07-07
2025-07-14 00:00:00+07:00,6.05,6.7,6.0,6.55,27463865,0.0,2025-07-14
2025-07-21 00:00:00+07:00,6.55,6.6,6.35,6.4,12843309,0.0,2025-07-21
2025-07-29 00:00:00+07:00,6.35,7.5,6.35,6.95,32640788,0.0,2025-07-29
2025-08-04 00:00:00+07:00,6.8,7.3,6.75,7.05,23673488,0.0,2025-08-04
2025-08-13 00:00:00+07:00,6.95,7.15,6.8,6.9,12462879,0.0,2025-08-13
2025-08-18 00:00:00+07:00,6.95,7.0,6.3,6.6,21753094,0.0,2025-08-18
2025-08-25 00:00:00+07:00,6.5,6.7,6.3,6.4,13837719,0.0,2025-08-25
2025-09-01 00:00:00+07:00,6.4,6.5,6.05,6.45,22227668,0.0,2025-09-01
2025-09-08 00:00:00+07:00,6.6,6.9,6.55,6.8,22149049,0.0,2025-09-08
2025-09-15 00:00:00+07:00,6.95,7.1,6.8,7.1,24220663,0.0,2025-09-15
2025-09-22 00:00:00+07:00,7.1,7.35,7.0,7.3,24529077,0.0,2025-09-22
2025-09-29 00:00:00+07:00,7.25,7.4,7.1,7.3,22307179,0.0,2025-09-29
2025-10-06 00:00:00+07:00,7.35,7.45,7.0,7.0,11408870,0.0,2025-10-06
2025-10-14 00:00:00+07:00,7.0,7.05,6.6,6.65,6137517,0.0,2025-10-14
2025-10-20 00:00:00+07:00,6.65,6.75,6.6,6.7,2875064,0.0,2025-10-20
2025-10-27 00:00:00+07:00,6.75,6.95,6.6,6.7,7297597,5091745.0,2025-10-27
