time,open,high,low,close,volume,value
2025-08-01 09:00:00+07:00,7.45,7.5,7.45,7.45,1147200,0.0
2025-08-01 10:00:00+07:00,7.45,7.45,7.05,7.1,3898500,0.0
2025-08-01 11:00:00+07:00,7.1,7.15,7.05,7.1,568500,0.0
2025-08-01 12:00:00+07:00,7.1,7.1,7.05,7.05,220300,0.0
2025-08-01 13:00:00+07:00,7.1,7.1,7.1,7.1,120300,0.0
2025-08-01 14:00:00+07:00,7.1,7.15,7.1,7.15,369000,0.0
2025-08-01 15:00:00+07:00,7.1,7.1,7.0,7.05,1442500,0.0
2025-08-01 16:00:00+07:00,7.0,7.1,6.95,6.95,1348300,0.0
2025-08-04 09:00:00+07:00,6.8,6.9,6.8,6.9,168300,0.0
2025-08-04 10:00:00+07:00,6.9,6.95,6.8,6.85,1474400,0.0
2025-08-04 11:00:00+07:00,6.85,6.85,6.75,6.85,541700,0.0
2025-08-04 12:00:00+07:00,6.85,6.9,6.8,6.9,391900,0.0
2025-08-04 13:00:00+07:00,6.85,6.85,6.85,6.85,2100,0.0
2025-08-04 14:00:00+07:00,6.9,7.1,6.9,7.1,2126800,0.0
2025-08-04 15:00:00+07:00,7.05,7.1,6.95,7.0,860600,0.0
2025-08-04 16:00:00+07:00,7.0,7.05,6.95,7.0,760300,0.0
2025-08-05 09:00:00+07:00,7.05,7.05,6.9,6.95,157000,0.0
2025-08-05 10:00:00+07:00,6.95,7.05,6.9,7.0,670100,0.0
2025-08-05 11:00:00+07:00,7.0,7.15,7.0,7.1,1534700,0.0
2025-08-05 12:00:00+07:00,7.1,7.15,7.05,7.1,403800,0.0
2025-08-05 13:00:00+07:00,7.1,7.1,7.1,7.1,2100,0.0
2025-08-05 14:00:00+07:00,7.05,7.25,7.05,7.2,1802300,0.0
2025-08-05 15:00:00+07:00,7.15,7.25,7.15,7.2,599700,0.0
2025-08-05 16:00:00+07:00,7.2,7.2,7.1,7.2,805800,0.0
2025-08-06 09:00:00+07:00,7.15,7.2,7.15,7.2,49100,0.0
2025-08-06 10:00:00+07:00,7.2,7.3,7.15,7.15,1028900,0.0
2025-08-06 11:00:00+07:00,7.15,7.2,7.15,7.15,207300,0.0
2025-08-06 12:00:00+07:00,7.15,7.2,7.15,7.15,103600,0.0
2025-08-06 13:00:00+07:00,7.15,7.15,7.15,7.15,14900,0.0
2025-08-06 14:00:00+07:00,7.15,7.25,7.15,7.2,281100,0.0
2025-08-06 15:00:00+07:00,7.2,7.25,7.1,7.15,899900,0.0
2025-08-06 16:00:00+07:00,7.1,7.15,7.05,7.1,1738600,0.0
2025-08-07 09:00:00+07:00,7.15,7.15,7.15,7.15,5500,0.0
2025-08-07 10:00:00+07:00,7.15,7.25,7.1,7.25,1075400,0.0
2025-08-07 11:00:00+07:00,7.25,7.25,7.15,7.15,965100,0.0
2025-08-07 12:00:00+07:00,7.1,7.15,7.1,7.15,1171400,0.0
2025-08-07 13:00:00+07:00,7.15,7.15,7.15,7.15,11600,0.0
2025-08-07 14:00:00+07:00,7.15,7.15,7.1,7.1,453500,0.0
2025-08-07 15:00:00+07:00,7.15,7.15,7.05,7.05,299000,0.0
2025-08-07 16:00:00+07:00,7.05,7.1,7.05,7.05,709900,0.0
2025-08-08 09:00:00+07:00,7.05,7.05,7.05,7.05,57800,0.0
2025-08-08 10:00:00+07:00,7.05,7.05,6.9,7.0,1014600,0.0
2025-08-08 11:00:00+07:00,6.95,7.0,6.95,6.95,389500,0.0
2025-08-08 12:00:00+07:00,6.95,7.0,6.95,7.0,24900,0.0
2025-08-08 13:00:00+07:00,6.95,6.95,6.95,6.95,6100,0.0
