time,open,high,low,close,volume,value,date
2024-11-01 00:00:00+07:00,4.84,4.98,4.58,4.7,29167948,0.0,2024-11-01
2024-12-01 00:00:00+07:00,4.7,4.84,4.52,4.64,19076469,0.0,2024-12-01
2025-01-01 00:00:00+07:00,4.64,4.64,3.94,4.18,40167129,0.0,2025-01-01
2025-02-01 00:00:00+07:00,4.12,4.28,3.96,4.22,25433954,0.0,2025-02-01
2025-03-01 00:00:00+07:00,4.2,4.62,4.12,4.46,24237881,0.0,2025-03-01
2025-04-01 00:00:00+07:00,4.5,4.6,4.16,4.6,23961660,0.0,2025-04-01
2025-05-01 00:00:00+07:00,4.6,4.68,4.34,4.46,20006057,0.0,2025-05-01
2025-06-01 00:00:00+07:00,4.48,4.48,4.22,4.32,13343400,0.0,2025-06-01
2025-07-01 00:00:00+07:00,4.34,4.68,4.32,4.68,12336495,0.0,2025-07-01
2025-08-01 00:00:00+07:00,4.68,5.25,4.58,4.78,34203794,0.0,2025-08-01
2025-09-01 00:00:00+07:00,4.82,4.98,4.7,4.8,27497299,0.0,2025-09-01
2025-10-01 00:00:00+07:00,4.8,4.84,4.64,4.8,20956169,5764556.0,2025-10-01
