time,open,high,low,close,volume,value,date
2024-11-04 00:00:00+07:00,4.84,4.98,4.76,4.92,7435847,0.0,2024-11-04
2024-11-11 00:00:00+07:00,4.94,4.94,4.68,4.72,8446982,0.0,2024-11-11
2024-11-18 00:00:00+07:00,4.68,4.78,4.66,4.7,5253375,0.0,2024-11-18
2024-11-25 00:00:00+07:00,4.68,4.74,4.58,4.7,6758225,0.0,2024-11-25
2024-12-02 00:00:00+07:00,4.7,4.76,4.66,4.74,3646901,0.0,2024-12-02
2024-12-09 00:00:00+07:00,4.74,4.84,4.66,4.66,5802743,0.0,2024-12-09
2024-12-16 00:00:00+07:00,4.62,4.7,4.52,4.54,6438009,0.0,2024-12-16
2024-12-23 00:00:00+07:00,4.56,4.68,4.52,4.62,2561396,0.0,2024-12-23
2024-12-30 00:00:00+07:00,4.66,4.66,4.54,4.54,2459038,0.0,2024-12-30
2025-01-06 00:00:00+07:00,4.54,4.56,4.4,4.44,5306798,0.0,2025-01-06
2025-01-13 00:00:00+07:00,4.44,4.46,4.08,4.1,14807396,0.0,2025-01-13
2025-01-20 00:00:00+07:00,4.06,4.34,3.94,4.32,11373070,0.0,2025-01-20
2025-01-27 00:00:00+07:00,4.3,4.34,4.16,4.18,6848247,0.0,2025-01-27
2025-02-03 00:00:00+07:00,4.12,4.28,3.96,4.04,8630618,0.0,2025-02-03
2025-02-10 00:00:00+07:00,4.04,4.14,4.0,4.1,4374184,0.0,2025-02-10
2025-02-17 00:00:00+07:00,4.1,4.28,4.06,4.22,5756304,0.0,2025-02-17
2025-02-24 00:00:00+07:00,4.26,4.26,4.04,4.22,6672848,0.0,2025-02-24
2025-03-03 00:00:00+07:00,4.2,4.32,4.12,4.3,6678307,0.0,2025-03-03
2025-03-10 00:00:00+07:00,4.32,4.32,4.2,4.26,3588729,0.0,2025-03-10
2025-03-17 00:00:00+07:00,4.24,4.54,4.24,4.44,7230512,0.0,2025-03-17
2025-03-24 00:00:00+07:00,4.46,4.62,4.44,4.52,5553598,0.0,2025-03-24
2025-03-31 00:00:00+07:00,4.48,4.54,4.32,4.4,8266915,0.0,2025-03-31
2025-04-08 00:00:00+07:00,4.28,4.44,4.16,4.38,6960863,0.0,2025-04-08
2025-04-16 00:00:00+07:00,4.46,4.54,4.4,4.52,2538427,0.0,2025-04-16
2025-04-21 00:00:00+07:00,4.54,4.6,4.38,4.54,5146927,0.0,2025-04-21
2025-04-28 00:00:00+07:00,4.56,4.6,4.52,4.58,4077628,0.0,2025-04-28
2025-05-06 00:00:00+07:00,4.36,4.44,4.34,4.42,2812204,0.0,2025-05-06
2025-05-13 00:00:00+07:00,4.54,4.68,4.42,4.48,8362836,0.0,2025-05-13
2025-05-19 00:00:00+07:00,4.48,4.58,4.46,4.52,4413081,0.0,2025-05-19
2025-05-26 00:00:00+07:00,4.56,4.56,4.44,4.46,2575571,0.0,2025-05-26
2025-06-04 00:00:00+07:00,4.48,4.48,4.36,4.44,2547922,0.0,2025-06-04
2025-06-09 00:00:00+07:00,4.42,4.48,4.34,4.36,2771655,0.0,2025-06-09
2025-06-16 00:00:00+07:00,4.38,4.4,4.26,4.32,3349329,0.0,2025-06-16
2025-06-23 00:00:00+07:00,4.28,4.4,4.22,4.32,4185137,0.0,2025-06-23
2025-06-30 00:00:00+07:00,4.32,4.48,4.3,4.42,3162630,0.0,2025-06-30
2025-07-07 00:00:00+07:00,4.38,4.5,4.38,4.5,1727565,0.0,2025-07-07
2025-07-14 00:00:00+07:00,4.48,4.62,4.48,4.6,3577184,0.0,2025-07-14
2025-07-21 00:00:00+07:00,4.62,4.66,4.56,4.6,2467335,0.0,2025-07-21
2025-07-29 00:00:00+07:00,4.66,4.7,4.6,4.66,3578946,0.0,2025-07-29
2025-08-04 00:00:00+07:00,4.66,4.94,4.58,4.92,7820043,0.0,2025-08-04
2025-08-13 00:00:00+07:00,5.25,5.25,5.0,5.05,9030472,0.0,2025-08-13
2025-08-18 00:00:00+07:00,5.05,5.15,4.74,4.78,12402594,0.0,2025-08-18
2025-08-25 00:00:00+07:00,4.84,4.84,4.78,4.78,3262877,0.0,2025-08-25
2025-09-01 00:00:00+07:00,4.82,4.96,4.74,4.88,4994021,0.0,2025-09-01
2025-09-08 00:00:00+07:00,4.86,4.96,4.7,4.92,7262445,0.0,2025-09-08
2025-09-15 00:00:00+07:00,4.92,4.98,4.74,4.84,9124242,0.0,2025-09-15
2025-09-22 00:00:00+07:00,4.82,4.86,4.72,4.86,4580283,0.0,2025-09-22
2025-09-29 00:00:00+07:00,4.86,4.88,4.78,4.8,4789216,0.0,2025-09-29
2025-10-06 00:00:00+07:00,4.8,4.84,4.76,4.78,5638587,0.0,2025-10-06
2025-10-14 00:00:00+07:00,4.76,4.76,4.64,4.66,5168548,0.0,2025-10-14
2025-10-20 00:00:00+07:00,4.66,4.8,4.66,4.72,3553325,0.0,2025-10-20
2025-10-27 00:00:00+07:00,4.72,4.84,4.7,4.8,3342801,5764556.0,2025-10-27
