time,open,high,low,close,volume,value,date
2024-11-01 00:00:00+07:00,14.5,15.1,12.6,12.9,223057407,0.0,2024-11-01
2024-12-01 00:00:00+07:00,12.9,14.8,12.2,12.7,170454382,0.0,2024-12-01
2025-01-01 00:00:00+07:00,12.7,13.1,11.4,11.4,107604378,0.0,2025-01-01
2025-02-01 00:00:00+07:00,11.3,12.0,10.5,10.9,85729621,0.0,2025-02-01
2025-03-01 00:00:00+07:00,11.0,11.3,10.0,10.1,56623097,0.0,2025-03-01
2025-04-01 00:00:00+07:00,10.2,10.3,6.3,9.1,236790709,0.0,2025-04-01
2025-05-01 00:00:00+07:00,9.15,9.35,8.2,8.5,84123303,0.0,2025-05-01
2025-06-01 00:00:00+07:00,8.3,8.55,6.7,7.4,59176297,0.0,2025-06-01
2025-07-01 00:00:00+07:00,7.5,8.95,7.15,8.65,85560175,0.0,2025-07-01
2025-08-01 00:00:00+07:00,8.75,10.3,8.3,9.35,97396078,0.0,2025-08-01
2025-09-01 00:00:00+07:00,9.4,11.1,9.35,9.4,106788012,0.0,2025-09-01
2025-10-01 00:00:00+07:00,9.4,10.2,9.1,9.55,78567671,16978270.0,2025-10-01
