time,open,high,low,close,volume,value
2025-10-07 09:45:00+07:00,20.4,20.5,20.4,20.4,394700,0.0
2025-10-07 10:00:00+07:00,20.4,20.8,20.4,20.6,3825800,0.0
2025-10-07 10:15:00+07:00,20.6,20.6,20.5,20.6,169000,0.0
2025-10-07 10:30:00+07:00,20.6,20.7,20.4,20.4,1294100,0.0
2025-10-07 10:45:00+07:00,20.4,20.5,20.4,20.5,466100,0.0
2025-10-07 11:00:00+07:00,20.5,20.6,20.5,20.6,120300,0.0
2025-10-07 11:15:00+07:00,20.6,20.6,20.5,20.6,317700,0.0
2025-10-07 11:30:00+07:00,20.6,20.6,20.4,20.5,600800,0.0
2025-10-07 11:45:00+07:00,20.6,20.6,20.5,20.6,55700,0.0
2025-10-07 12:00:00+07:00,20.6,20.6,20.5,20.6,187800,0.0
2025-10-07 12:15:00+07:00,20.6,20.6,20.5,20.5,69900,0.0
2025-10-07 13:45:00+07:00,20.6,20.6,20.5,20.5,100500,0.0
2025-10-07 14:00:00+07:00,20.5,20.6,20.5,20.6,98000,0.0
2025-10-07 14:15:00+07:00,20.6,20.6,20.4,20.5,1313200,0.0
2025-10-07 14:30:00+07:00,20.5,20.6,20.4,20.5,413800,0.0
2025-10-07 14:45:00+07:00,20.5,20.5,20.4,20.5,186600,0.0
2025-10-07 15:00:00+07:00,20.4,20.5,20.4,20.5,182900,0.0
2025-10-07 15:15:00+07:00,20.5,20.5,20.4,20.5,372700,0.0
2025-10-07 15:30:00+07:00,20.5,20.5,20.4,20.5,192100,0.0
2025-10-07 15:45:00+07:00,20.5,20.5,20.4,20.4,133300,0.0
2025-10-07 16:00:00+07:00,20.5,20.5,20.4,20.5,635300,0.0
2025-10-07 16:15:00+07:00,20.5,20.5,20.4,20.5,294000,0.0
2025-10-07 16:30:00+07:00,20.5,20.5,20.5,20.5,710500,0.0
2025-10-08 09:45:00+07:00,20.4,20.5,20.4,20.5,93700,0.0
2025-10-08 10:00:00+07:00,20.5,20.6,20.3,20.4,1001200,0.0
2025-10-08 10:15:00+07:00,20.4,20.4,20.3,20.3,386800,0.0
2025-10-08 10:30:00+07:00,20.3,20.5,20.3,20.5,555100,0.0
2025-10-08 10:45:00+07:00,20.5,20.5,20.3,20.3,601500,0.0
2025-10-08 11:00:00+07:00,20.2,20.3,20.2,20.3,94400,0.0
2025-10-08 11:15:00+07:00,20.3,20.3,20.2,20.3,76400,0.0
2025-10-08 11:30:00+07:00,20.3,20.3,20.2,20.3,1006000,0.0
2025-10-08 11:45:00+07:00,20.3,20.3,20.2,20.3,30200,0.0
2025-10-08 12:00:00+07:00,20.3,20.3,20.3,20.3,20300,0.0
2025-10-08 12:15:00+07:00,20.3,20.3,20.2,20.2,279800,0.0
2025-10-08 13:45:00+07:00,20.2,20.2,20.2,20.2,42500,0.0
2025-10-08 14:00:00+07:00,20.3,20.4,20.1,20.3,904400,0.0
2025-10-08 14:15:00+07:00,20.3,20.4,20.2,20.3,254900,0.0
2025-10-08 14:30:00+07:00,20.4,20.4,20.3,20.4,174700,0.0
2025-10-08 14:45:00+07:00,20.4,20.5,20.3,20.5,446400,0.0
2025-10-08 15:00:00+07:00,20.5,20.5,20.4,20.5,92700,0.0
2025-10-08 15:15:00+07:00,20.5,20.5,20.4,20.4,58900,0.0
2025-10-08 15:30:00+07:00,20.4,20.5,20.3,20.3,584000,0.0
2025-10-08 15:45:00+07:00,20.4,20.5,20.3,20.4,614200,0.0
2025-10-08 16:00:00+07:00,20.3,20.4,20.3,20.4,50400,0.0
2025-10-08 16:15:00+07:00,20.4,20.4,20.3,20.4,423500,0.0
2025-10-08 16:30:00+07:00,20.4,20.4,20.4,20.4,304900,0.0
2025-10-09 09:45:00+07:00,20.4,20.4,20.4,20.4,39600,0.0
2025-10-09 10:00:00+07:00,20.3,20.4,20.2,20.2,322600,0.0
2025-10-09 10:15:00+07:00,20.2,20.4,20.2,20.2,972700,0.0
2025-10-09 10:30:00+07:00,20.3,20.3,20.2,20.2,82700,0.0
2025-10-09 10:45:00+07:00,20.2,20.3,20.2,20.3,204500,0.0
2025-10-09 11:00:00+07:00,20.2,20.3,20.2,20.2,248000,0.0
2025-10-09 11:15:00+07:00,20.2,20.4,20.2,20.2,378900,0.0
2025-10-09 11:30:00+07:00,20.3,20.3,20.2,20.3,157100,0.0
2025-10-09 11:45:00+07:00,20.2,20.3,20.2,20.3,88200,0.0
2025-10-09 12:00:00+07:00,20.2,20.3,20.2,20.2,589200,0.0
2025-10-09 12:15:00+07:00,20.3,20.3,20.2,20.2,81300,0.0
2025-10-09 13:45:00+07:00,20.3,20.3,20.3,20.3,164400,0.0
2025-10-09 14:00:00+07:00,20.2,20.4,20.2,20.4,796200,0.0
2025-10-09 14:15:00+07:00,20.4,20.5,20.3,20.3,965200,0.0
2025-10-09 14:30:00+07:00,20.4,20.5,20.3,20.5,384700,0.0
2025-10-09 14:45:00+07:00,20.4,20.5,20.4,20.4,183000,0.0
2025-10-09 15:00:00+07:00,20.4,20.6,20.4,20.6,473100,0.0
2025-10-09 15:15:00+07:00,20.6,20.6,20.4,20.4,415600,0.0
2025-10-09 15:30:00+07:00,20.4,20.6,20.4,20.6,368300,0.0
2025-10-09 15:45:00+07:00,20.5,20.6,20.5,20.6,165400,0.0
2025-10-09 16:00:00+07:00,20.5,20.6,20.4,20.5,829300,0.0
2025-10-09 16:15:00+07:00,20.5,20.6,20.4,20.5,668500,0.0
2025-10-09 16:30:00+07:00,20.5,20.5,20.5,20.5,535600,0.0
2025-10-10 09:45:00+07:00,20.5,20.5,20.5,20.5,281400,0.0
2025-10-10 10:00:00+07:00,20.4,20.5,20.3,20.5,1499400,0.0
2025-10-10 10:15:00+07:00,20.5,20.6,20.5,20.5,792300,0.0
2025-10-10 10:30:00+07:00,20.5,20.7,20.5,20.6,682000,0.0
2025-10-10 10:45:00+07:00,20.7,20.8,20.6,20.8,718600,0.0
2025-10-10 11:00:00+07:00,20.7,21.1,20.7,21.0,4188700,0.0
2025-10-10 11:15:00+07:00,21.0,21.1,21.0,21.0,2082400,0.0
2025-10-10 11:30:00+07:00,21.0,21.1,20.9,20.9,360300,0.0
2025-10-10 11:45:00+07:00,20.9,21.0,20.9,20.9,77700,0.0
2025-10-10 12:00:00+07:00,21.0,21.0,20.9,20.9,663800,0.0
2025-10-10 12:15:00+07:00,20.9,21.0,20.9,20.9,147700,0.0
2025-10-10 13:45:00+07:00,20.9,20.9,20.8,20.8,129400,0.0
2025-10-10 14:00:00+07:00,20.8,21.1,20.8,21.0,2303900,0.0
2025-10-10 14:15:00+07:00,21.1,21.1,21.0,21.0,1724900,0.0
2025-10-10 14:30:00+07:00,21.0,21.1,21.0,21.1,1749600,0.0
2025-10-10 14:45:00+07:00,21.0,21.1,21.0,21.0,230900,0.0
2025-10-10 15:00:00+07:00,21.0,21.1,21.0,21.0,265700,0.0
2025-10-10 15:15:00+07:00,21.1,21.1,21.0,21.1,132700,0.0
2025-10-10 15:30:00+07:00,21.1,21.1,21.0,21.0,214500,0.0
2025-10-10 15:45:00+07:00,21.0,21.1,21.0,21.0,605000,0.0
2025-10-10 16:00:00+07:00,21.1,21.4,21.1,21.4,2778500,0.0
2025-10-10 16:15:00+07:00,21.4,21.4,21.2,21.3,776300,0.0
2025-10-10 16:30:00+07:00,21.2,21.2,21.2,21.2,1041700,0.0
2025-10-14 09:45:00+07:00,21.3,21.4,21.2,21.2,716600,0.0
2025-10-14 10:00:00+07:00,21.3,21.4,21.0,21.2,1397900,0.0
2025-10-14 10:15:00+07:00,21.1,21.2,21.0,21.0,476800,0.0
2025-10-14 10:30:00+07:00,21.0,21.0,20.9,20.9,578200,0.0
2025-10-14 10:45:00+07:00,20.9,21.1,20.9,21.1,177800,0.0
2025-10-14 11:00:00+07:00,21.0,21.1,21.0,21.0,256700,0.0
2025-10-14 11:15:00+07:00,21.0,21.0,20.8,20.9,1160300,0.0
2025-10-14 11:30:00+07:00,20.9,21.0,20.9,20.9,69400,0.0
2025-10-14 11:45:00+07:00,20.9,21.0,20.9,20.9,45100,0.0
2025-10-14 12:00:00+07:00,20.9,21.0,20.9,20.9,80700,0.0
2025-10-14 12:15:00+07:00,20.9,20.9,20.9,20.9,346600,0.0
2025-10-14 13:45:00+07:00,20.9,20.9,20.9,20.9,96500,0.0
2025-10-14 14:00:00+07:00,20.9,20.9,20.8,20.8,588700,0.0
2025-10-14 14:15:00+07:00,20.8,20.8,20.7,20.8,913700,0.0
2025-10-14 14:30:00+07:00,20.7,20.8,20.7,20.7,99900,0.0
2025-10-14 14:45:00+07:00,20.7,20.8,20.6,20.8,1336900,0.0
2025-10-14 15:00:00+07:00,20.9,20.9,20.8,20.9,113100,0.0
2025-10-14 15:15:00+07:00,20.8,20.9,20.8,20.8,43400,0.0
2025-10-14 15:30:00+07:00,20.8,20.9,20.8,20.8,9100,0.0
2025-10-14 15:45:00+07:00,20.8,20.9,20.8,20.8,250000,0.0
2025-10-14 16:00:00+07:00,20.8,20.9,20.8,20.8,130400,0.0
2025-10-14 16:15:00+07:00,20.8,20.8,20.7,20.8,407100,0.0
2025-10-14 16:30:00+07:00,20.7,20.7,20.7,20.7,666400,0.0
2025-10-15 09:45:00+07:00,21.1,21.1,21.0,21.0,218800,0.0
2025-10-15 10:00:00+07:00,21.0,21.3,21.0,21.2,1018000,0.0
2025-10-15 10:15:00+07:00,21.2,21.4,21.2,21.3,740000,0.0
2025-10-15 10:30:00+07:00,21.4,21.7,21.3,21.5,3653000,0.0
2025-10-15 10:45:00+07:00,21.5,21.7,21.5,21.7,1018100,0.0
2025-10-15 11:00:00+07:00,21.6,21.6,21.5,21.6,963100,0.0
2025-10-15 11:15:00+07:00,21.5,21.6,21.5,21.6,84900,0.0
2025-10-15 11:30:00+07:00,21.5,21.7,21.5,21.6,880400,0.0
2025-10-15 11:45:00+07:00,21.7,21.9,21.6,21.9,2200200,0.0
2025-10-15 12:00:00+07:00,21.9,22.0,21.8,22.0,1746700,0.0
2025-10-15 12:15:00+07:00,21.9,22.0,21.9,22.0,185400,0.0
2025-10-15 13:45:00+07:00,22.0,22.0,21.8,21.8,865300,0.0
2025-10-15 14:00:00+07:00,21.9,21.9,21.8,21.9,566600,0.0
2025-10-15 14:15:00+07:00,21.9,22.0,21.8,21.9,1373300,0.0
2025-10-15 14:30:00+07:00,21.9,22.1,21.9,22.1,2431300,0.0
2025-10-15 14:45:00+07:00,22.1,22.1,21.9,21.9,878300,0.0
2025-10-15 15:00:00+07:00,22.0,22.0,21.9,22.0,69700,0.0
2025-10-15 15:15:00+07:00,22.0,22.1,21.9,22.1,514300,0.0
2025-10-15 15:30:00+07:00,22.1,22.1,21.9,22.1,1182100,0.0
2025-10-15 15:45:00+07:00,22.1,22.1,21.9,22.0,719100,0.0
2025-10-15 16:00:00+07:00,21.9,22.0,21.9,22.0,292200,0.0
2025-10-15 16:15:00+07:00,22.0,22.0,21.9,22.0,182900,0.0
2025-10-15 16:30:00+07:00,22.1,22.1,22.1,22.1,1295700,0.0
2025-10-16 09:45:00+07:00,21.8,21.8,21.8,21.8,307300,0.0
2025-10-16 10:00:00+07:00,21.8,22.0,21.8,22.0,712700,0.0
2025-10-16 10:15:00+07:00,22.0,22.0,21.9,21.9,524600,0.0
2025-10-16 10:30:00+07:00,21.9,22.0,21.9,21.9,291300,0.0
2025-10-16 10:45:00+07:00,21.8,22.0,21.8,22.0,268700,0.0
2025-10-16 11:00:00+07:00,22.0,22.0,21.9,22.0,82500,0.0
2025-10-16 11:15:00+07:00,22.0,22.0,21.9,22.0,64300,0.0
2025-10-16 11:30:00+07:00,22.0,22.0,21.9,21.9,147300,0.0
2025-10-16 11:45:00+07:00,21.9,22.0,21.9,21.9,89100,0.0
2025-10-16 12:00:00+07:00,22.0,22.0,21.9,21.9,63300,0.0
2025-10-16 12:15:00+07:00,21.9,22.0,21.8,22.0,547500,0.0
2025-10-16 13:45:00+07:00,21.9,21.9,21.9,21.9,211000,0.0
2025-10-16 14:00:00+07:00,21.9,21.9,21.8,21.9,26300,0.0
2025-10-16 14:15:00+07:00,21.9,21.9,21.8,21.9,30500,0.0
2025-10-16 14:30:00+07:00,21.9,21.9,21.8,21.9,64400,0.0
2025-10-16 14:45:00+07:00,21.9,22.0,21.9,21.9,346300,0.0
2025-10-16 15:00:00+07:00,22.0,22.0,21.9,22.0,108600,0.0
