time,open,high,low,close,volume,value,date
2024-10-31 00:00:00+07:00,11.0,11.3,11.0,11.2,10763261,0.0,2024-10-31
2024-11-01 00:00:00+07:00,11.2,11.3,11.1,11.2,3340843,0.0,2024-11-01
2024-11-04 00:00:00+07:00,11.1,11.2,10.5,10.6,26165882,0.0,2024-11-04
2024-11-05 00:00:00+07:00,10.7,11.1,10.6,10.9,18343097,0.0,2024-11-05
2024-11-06 00:00:00+07:00,10.9,10.9,10.6,10.6,7052358,0.0,2024-11-06
2024-11-07 00:00:00+07:00,10.8,10.9,10.6,10.7,5546795,0.0,2024-11-07
2024-11-08 00:00:00+07:00,10.6,10.8,10.5,10.7,7653270,0.0,2024-11-08
2024-11-11 00:00:00+07:00,10.6,10.7,10.4,10.7,7984846,0.0,2024-11-11
2024-11-12 00:00:00+07:00,10.6,10.7,10.5,10.7,6804571,0.0,2024-11-12
2024-11-13 00:00:00+07:00,10.7,10.8,10.4,10.7,6947598,0.0,2024-11-13
2024-11-14 00:00:00+07:00,10.6,10.6,9.75,10.0,32357829,0.0,2024-11-14
2024-11-15 00:00:00+07:00,10.0,10.1,9.7,9.85,13350879,0.0,2024-11-15
2024-11-18 00:00:00+07:00,9.95,10.4,9.95,10.2,9704113,0.0,2024-11-18
2024-11-19 00:00:00+07:00,10.3,10.6,10.2,10.4,11688543,0.0,2024-11-19
2024-11-20 00:00:00+07:00,10.4,10.5,10.3,10.5,2671267,0.0,2024-11-20
2024-11-21 00:00:00+07:00,10.6,11.0,10.5,10.6,18037288,0.0,2024-11-21
2024-11-22 00:00:00+07:00,10.6,10.8,10.4,10.4,5717173,0.0,2024-11-22
2024-11-25 00:00:00+07:00,10.4,10.9,10.4,10.8,13574524,0.0,2024-11-25
2024-11-26 00:00:00+07:00,10.8,10.8,10.6,10.7,4362411,0.0,2024-11-26
2024-11-27 00:00:00+07:00,10.7,10.7,10.4,10.6,3455348,0.0,2024-11-27
2024-11-28 00:00:00+07:00,10.7,10.7,10.3,10.5,5133808,0.0,2024-11-28
2024-11-29 00:00:00+07:00,10.4,10.6,10.4,10.6,8291581,0.0,2024-11-29
2024-12-02 00:00:00+07:00,10.7,11.3,10.7,11.3,13493156,0.0,2024-12-02
2024-12-03 00:00:00+07:00,11.3,11.5,11.2,11.3,8096257,0.0,2024-12-03
2024-12-04 00:00:00+07:00,11.4,11.5,11.2,11.2,5378670,0.0,2024-12-04
2024-12-06 00:00:00+07:00,11.0,11.1,10.8,10.9,5384145,0.0,2024-12-06
2024-12-09 00:00:00+07:00,10.9,11.1,10.9,11.0,6673913,0.0,2024-12-09
2024-12-11 00:00:00+07:00,11.1,11.1,10.8,11.0,6751239,0.0,2024-12-11
2024-12-12 00:00:00+07:00,11.1,11.1,10.7,10.8,6314635,0.0,2024-12-12
2024-12-13 00:00:00+07:00,10.8,10.8,10.6,10.7,2819210,0.0,2024-12-13
2024-12-16 00:00:00+07:00,10.6,10.8,10.5,10.8,4880588,0.0,2024-12-16
2024-12-17 00:00:00+07:00,10.8,10.9,10.6,10.8,5306920,0.0,2024-12-17
2024-12-18 00:00:00+07:00,10.7,11.2,10.7,11.1,10276265,0.0,2024-12-18
2024-12-19 00:00:00+07:00,11.1,11.1,10.8,10.9,10271639,0.0,2024-12-19
2024-12-20 00:00:00+07:00,10.8,10.9,10.2,10.4,17214932,0.0,2024-12-20
2024-12-23 00:00:00+07:00,10.5,10.5,10.3,10.4,6342814,0.0,2024-12-23
2024-12-24 00:00:00+07:00,10.3,10.6,10.3,10.5,3960050,0.0,2024-12-24
2024-12-25 00:00:00+07:00,10.5,10.5,10.2,10.4,7827184,0.0,2024-12-25
2024-12-26 00:00:00+07:00,10.3,10.6,10.3,10.5,7935205,0.0,2024-12-26
2024-12-27 00:00:00+07:00,10.4,10.9,10.4,10.7,8377490,0.0,2024-12-27
2024-12-30 00:00:00+07:00,10.7,11.2,10.6,11.2,9819310,0.0,2024-12-30
2025-01-02 00:00:00+07:00,11.2,11.2,10.6,10.8,10867386,0.0,2025-01-02
2025-01-03 00:00:00+07:00,10.8,10.8,10.6,10.7,5826527,0.0,2025-01-03
2025-01-06 00:00:00+07:00,10.7,10.8,10.4,10.5,6475434,0.0,2025-01-06
2025-01-07 00:00:00+07:00,10.5,10.9,10.4,10.9,5917569,0.0,2025-01-07
2025-01-08 00:00:00+07:00,11.0,11.7,10.9,11.4,31618833,0.0,2025-01-08
2025-01-09 00:00:00+07:00,11.4,11.4,10.9,11.1,16335558,0.0,2025-01-09
