time,open,high,low,close,volume,value,date
2024-10-31 00:00:00+07:00,40.75,41.75,40.75,41.0,11599695,0.0,2024-10-31
2024-11-01 00:00:00+07:00,41.0,41.75,40.75,41.5,12494587,0.0,2024-11-01
2024-11-04 00:00:00+07:00,41.75,43.75,41.5,43.5,16162628,0.0,2024-11-04
2024-11-05 00:00:00+07:00,43.75,45.0,43.75,44.5,15602019,0.0,2024-11-05
2024-11-06 00:00:00+07:00,44.75,44.75,43.25,43.25,13322288,0.0,2024-11-06
2024-11-07 00:00:00+07:00,43.75,43.75,42.25,42.5,8521358,0.0,2024-11-07
2024-11-08 00:00:00+07:00,42.5,42.75,42.25,42.75,7347044,0.0,2024-11-08
2024-11-11 00:00:00+07:00,42.5,42.5,41.0,41.75,11157610,0.0,2024-11-11
2024-11-12 00:00:00+07:00,41.5,41.5,40.25,40.5,12797636,0.0,2024-11-12
2024-11-13 00:00:00+07:00,40.0,42.0,40.0,41.0,11983402,0.0,2024-11-13
2024-11-14 00:00:00+07:00,40.75,41.5,40.25,41.25,10433988,0.0,2024-11-14
2024-11-15 00:00:00+07:00,41.0,41.0,39.5,40.0,19003418,0.0,2024-11-15
2024-11-18 00:00:00+07:00,39.5,41.25,38.5,40.75,14752104,0.0,2024-11-18
2024-11-19 00:00:00+07:00,41.0,41.75,40.5,41.0,11405424,0.0,2024-11-19
2024-11-20 00:00:00+07:00,41.25,41.25,40.0,40.25,7385959,0.0,2024-11-20
2024-11-21 00:00:00+07:00,40.25,40.75,40.0,40.25,8974104,0.0,2024-11-21
2024-11-22 00:00:00+07:00,40.25,41.0,39.5,40.5,16207473,0.0,2024-11-22
2024-11-25 00:00:00+07:00,40.75,41.0,39.5,39.5,13508598,0.0,2024-11-25
2024-11-26 00:00:00+07:00,39.5,39.75,39.25,39.5,5081884,0.0,2024-11-26
2024-11-27 00:00:00+07:00,39.5,39.75,38.75,38.75,11044463,0.0,2024-11-27
2024-11-28 00:00:00+07:00,38.75,38.75,37.0,37.25,19760015,0.0,2024-11-28
2024-11-29 00:00:00+07:00,37.75,38.25,37.5,37.75,9020494,0.0,2024-11-29
2024-12-02 00:00:00+07:00,38.0,38.25,37.5,37.5,5257792,0.0,2024-12-02
2024-12-03 00:00:00+07:00,37.75,39.0,37.75,38.75,7205250,0.0,2024-12-03
2024-12-04 00:00:00+07:00,39.0,39.5,38.5,38.75,9505952,0.0,2024-12-04
