time,open,high,low,close,volume,value,date
2024-10-31 00:00:00+07:00,1.77,1.8,1.77,1.78,210977697,0.0,2024-10-31
2024-11-01 00:00:00+07:00,1.77,1.8,1.77,1.78,143105110,0.0,2024-11-01
2024-11-04 00:00:00+07:00,1.78,1.8,1.77,1.78,94546858,0.0,2024-11-04
2024-11-05 00:00:00+07:00,1.78,1.82,1.77,1.81,200046335,0.0,2024-11-05
2024-11-06 00:00:00+07:00,1.81,1.82,1.78,1.79,204393366,0.0,2024-11-06
2024-11-07 00:00:00+07:00,1.79,1.82,1.79,1.8,146407324,0.0,2024-11-07
2024-11-08 00:00:00+07:00,1.8,1.81,1.78,1.79,134149379,0.0,2024-11-08
2024-11-11 00:00:00+07:00,1.79,1.79,1.76,1.76,177478655,0.0,2024-11-11
2024-11-12 00:00:00+07:00,1.76,1.77,1.75,1.75,129170045,0.0,2024-11-12
2024-11-13 00:00:00+07:00,1.75,1.77,1.75,1.75,78368385,0.0,2024-11-13
2024-11-14 00:00:00+07:00,1.75,1.76,1.72,1.73,212207755,0.0,2024-11-14
2024-11-15 00:00:00+07:00,1.73,1.76,1.73,1.75,122527447,0.0,2024-11-15
2024-11-18 00:00:00+07:00,1.76,1.78,1.75,1.77,153485756,0.0,2024-11-18
2024-11-19 00:00:00+07:00,1.78,1.8,1.77,1.79,158225174,0.0,2024-11-19
2024-11-20 00:00:00+07:00,1.8,1.8,1.77,1.77,167940914,0.0,2024-11-20
2024-11-21 00:00:00+07:00,1.79,1.8,1.78,1.79,81684657,0.0,2024-11-21
2024-11-22 00:00:00+07:00,1.8,1.81,1.79,1.8,192861573,0.0,2024-11-22
2024-11-25 00:00:00+07:00,1.81,1.81,1.79,1.81,131490778,0.0,2024-11-25
2024-11-26 00:00:00+07:00,1.8,1.81,1.78,1.79,81333975,0.0,2024-11-26
2024-11-27 00:00:00+07:00,1.78,1.79,1.77,1.78,57092001,0.0,2024-11-27
2024-11-28 00:00:00+07:00,1.78,1.79,1.77,1.77,86637262,0.0,2024-11-28
2024-11-29 00:00:00+07:00,1.78,1.79,1.75,1.76,187605758,0.0,2024-11-29
2024-12-02 00:00:00+07:00,1.76,1.78,1.75,1.77,111512072,0.0,2024-12-02
2024-12-03 00:00:00+07:00,1.77,1.8,1.77,1.79,94389743,0.0,2024-12-03
2024-12-04 00:00:00+07:00,1.79,1.81,1.78,1.78,136623947,0.0,2024-12-04
2024-12-06 00:00:00+07:00,1.79,1.84,1.78,1.83,286704512,0.0,2024-12-06
2024-12-09 00:00:00+07:00,1.83,1.85,1.82,1.83,152722310,0.0,2024-12-09
2024-12-11 00:00:00+07:00,1.83,1.84,1.82,1.83,114103181,0.0,2024-12-11
2024-12-12 00:00:00+07:00,1.84,1.88,1.83,1.87,424852432,0.0,2024-12-12
2024-12-13 00:00:00+07:00,1.86,1.87,1.85,1.85,155654701,0.0,2024-12-13
2024-12-16 00:00:00+07:00,1.86,1.86,1.84,1.86,124038480,0.0,2024-12-16
2024-12-17 00:00:00+07:00,1.86,1.87,1.82,1.83,169228452,0.0,2024-12-17
2024-12-18 00:00:00+07:00,1.82,1.83,1.81,1.82,181030048,0.0,2024-12-18
2024-12-19 00:00:00+07:00,1.81,1.84,1.8,1.81,202435274,0.0,2024-12-19
2024-12-20 00:00:00+07:00,1.81,1.82,1.78,1.8,253507485,0.0,2024-12-20
2024-12-23 00:00:00+07:00,1.8,1.84,1.79,1.83,173765634,0.0,2024-12-23
2024-12-24 00:00:00+07:00,1.84,1.84,1.83,1.84,58337129,0.0,2024-12-24
2024-12-25 00:00:00+07:00,1.85,1.86,1.84,1.85,176872442,0.0,2024-12-25
2024-12-26 00:00:00+07:00,1.84,1.86,1.83,1.86,70452059,0.0,2024-12-26
2024-12-27 00:00:00+07:00,1.85,1.86,1.83,1.84,75903506,0.0,2024-12-27
2024-12-30 00:00:00+07:00,1.83,1.86,1.83,1.86,156398519,0.0,2024-12-30
2025-01-02 00:00:00+07:00,1.86,1.86,1.84,1.85,93124622,0.0,2025-01-02
2025-01-03 00:00:00+07:00,1.86,1.86,1.84,1.85,80202021,0.0,2025-01-03
2025-01-06 00:00:00+07:00,1.85,1.87,1.83,1.83,168481829,0.0,2025-01-06
2025-01-07 00:00:00+07:00,1.84,1.85,1.81,1.83,263643686,0.0,2025-01-07
2025-01-08 00:00:00+07:00,1.83,1.85,1.82,1.85,218137720,0.0,2025-01-08
2025-01-09 00:00:00+07:00,1.84,1.84,1.8,1.8,247158268,0.0,2025-01-09
2025-01-10 00:00:00+07:00,1.8,1.82,1.79,1.8,273516513,0.0,2025-01-10
2025-01-13 00:00:00+07:00,1.79,1.84,1.79,1.84,387247230,0.0,2025-01-13
2025-01-14 00:00:00+07:00,1.84,1.85,1.82,1.82,183555732,0.0,2025-01-14
2025-01-15 00:00:00+07:00,1.82,1.83,1.8,1.83,184488742,0.0,2025-01-15
2025-01-16 00:00:00+07:00,1.83,1.84,1.82,1.83,217369201,0.0,2025-01-16
2025-01-17 00:00:00+07:00,1.83,1.84,1.82,1.82,218284655,0.0,2025-01-17
2025-01-20 00:00:00+07:00,1.83,1.85,1.82,1.85,237131202,0.0,2025-01-20
2025-01-21 00:00:00+07:00,1.85,1.86,1.82,1.83,366782225,0.0,2025-01-21
2025-01-22 00:00:00+07:00,1.83,1.91,1.83,1.9,934363949,0.0,2025-01-22
2025-01-23 00:00:00+07:00,1.9,1.92,1.87,1.87,556937985,0.0,2025-01-23
2025-01-24 00:00:00+07:00,1.88,1.9,1.86,1.87,178708746,0.0,2025-01-24
2025-01-27 00:00:00+07:00,1.86,1.89,1.85,1.89,196326399,0.0,2025-01-27
2025-01-28 00:00:00+07:00,1.9,1.92,1.89,1.91,414535391,0.0,2025-01-28
2025-01-29 00:00:00+07:00,2.0,2.02,1.94,1.97,1018728245,0.0,2025-01-29
2025-01-30 00:00:00+07:00,1.97,1.98,1.95,1.96,335700786,0.0,2025-01-30
2025-01-31 00:00:00+07:00,1.96,1.99,1.96,1.98,709097429,0.0,2025-01-31
2025-02-03 00:00:00+07:00,1.94,1.98,1.92,1.98,620598021,0.0,2025-02-03
2025-02-04 00:00:00+07:00,1.98,1.99,1.97,1.97,405902655,0.0,2025-02-04
2025-02-05 00:00:00+07:00,1.98,1.98,1.95,1.97,304371733,0.0,2025-02-05
2025-02-06 00:00:00+07:00,1.97,1.98,1.96,1.96,382695722,0.0,2025-02-06
2025-02-07 00:00:00+07:00,1.96,1.96,1.92,1.95,427986214,0.0,2025-02-07
2025-02-10 00:00:00+07:00,1.95,1.96,1.94,1.96,333382744,0.0,2025-02-10
2025-02-11 00:00:00+07:00,1.95,1.96,1.94,1.94,192563219,0.0,2025-02-11
2025-02-13 00:00:00+07:00,1.95,1.95,1.93,1.95,196263386,0.0,2025-02-13
2025-02-14 00:00:00+07:00,1.94,1.96,1.93,1.94,305860124,0.0,2025-02-14
2025-02-17 00:00:00+07:00,1.95,1.98,1.94,1.98,513584640,0.0,2025-02-17
2025-02-18 00:00:00+07:00,1.98,1.99,1.97,1.99,360087176,0.0,2025-02-18
2025-02-19 00:00:00+07:00,1.98,2.02,1.98,2.02,751753859,0.0,2025-02-19
2025-02-20 00:00:00+07:00,2.0,2.0,1.96,1.98,640332957,0.0,2025-02-20
2025-02-21 00:00:00+07:00,1.97,1.98,1.96,1.96,314165530,0.0,2025-02-21
2025-02-24 00:00:00+07:00,1.96,1.97,1.94,1.96,243441317,0.0,2025-02-24
2025-02-25 00:00:00+07:00,1.96,1.97,1.94,1.94,348140704,0.0,2025-02-25
2025-02-26 00:00:00+07:00,1.94,1.96,1.9,1.92,562906595,0.0,2025-02-26
2025-02-27 00:00:00+07:00,1.91,1.95,1.91,1.94,254250135,0.0,2025-02-27
2025-02-28 00:00:00+07:00,1.91,1.92,1.89,1.92,497501333,0.0,2025-02-28
2025-03-03 00:00:00+07:00,1.93,1.95,1.91,1.92,285409238,0.0,2025-03-03
2025-03-04 00:00:00+07:00,1.92,1.94,1.91,1.92,243675687,0.0,2025-03-04
2025-03-05 00:00:00+07:00,1.93,1.94,1.91,1.93,222063890,0.0,2025-03-05
2025-03-06 00:00:00+07:00,1.94,1.94,1.9,1.9,232984667,0.0,2025-03-06
2025-03-07 00:00:00+07:00,1.9,1.91,1.89,1.9,115379534,0.0,2025-03-07
2025-03-10 00:00:00+07:00,1.9,1.94,1.89,1.91,294945189,0.0,2025-03-10
2025-03-11 00:00:00+07:00,1.9,1.92,1.89,1.91,266551990,0.0,2025-03-11
2025-03-12 00:00:00+07:00,1.9,1.91,1.89,1.91,256047830,0.0,2025-03-12
2025-03-13 00:00:00+07:00,1.91,1.91,1.89,1.9,104700484,0.0,2025-03-13
2025-03-14 00:00:00+07:00,1.9,1.92,1.9,1.91,75000627,0.0,2025-03-14
2025-03-17 00:00:00+07:00,1.91,1.93,1.91,1.92,172192892,0.0,2025-03-17
2025-03-18 00:00:00+07:00,1.92,1.94,1.91,1.93,246118284,0.0,2025-03-18
2025-03-19 00:00:00+07:00,1.93,1.94,1.92,1.92,86550008,0.0,2025-03-19
2025-03-20 00:00:00+07:00,1.92,1.94,1.92,1.92,135346516,0.0,2025-03-20
2025-03-21 00:00:00+07:00,1.97,2.02,1.93,1.94,1103936565,0.0,2025-03-21
2025-03-24 00:00:00+07:00,1.94,1.94,1.93,1.94,67217981,0.0,2025-03-24
2025-03-25 00:00:00+07:00,1.95,1.97,1.93,1.94,272393520,0.0,2025-03-25
2025-03-26 00:00:00+07:00,1.94,1.97,1.94,1.96,178736923,0.0,2025-03-26
2025-03-27 00:00:00+07:00,1.97,2.0,1.96,2.0,429186685,0.0,2025-03-27
2025-03-28 00:00:00+07:00,1.99,2.0,1.97,1.99,234937223,0.0,2025-03-28
2025-03-31 00:00:00+07:00,1.97,1.98,1.96,1.96,286370617,0.0,2025-03-31
2025-04-01 00:00:00+07:00,1.96,1.99,1.96,1.97,149087239,0.0,2025-04-01
2025-04-02 00:00:00+07:00,1.98,2.0,1.96,1.99,311924792,0.0,2025-04-02
2025-04-03 00:00:00+07:00,1.98,2.0,1.97,1.97,175988678,0.0,2025-04-03
2025-04-04 00:00:00+07:00,1.97,1.97,1.92,1.93,338063313,0.0,2025-04-04
2025-04-08 00:00:00+07:00,1.91,1.92,1.82,1.87,472454858,0.0,2025-04-08
2025-04-09 00:00:00+07:00,1.85,1.87,1.8,1.87,329141208,0.0,2025-04-09
