time,open,high,low,close,volume,value,date
2024-10-31 00:00:00+07:00,2.78,2.86,2.76,2.82,104322163,0.0,2024-10-31
2024-11-01 00:00:00+07:00,2.82,2.84,2.76,2.76,59982363,0.0,2024-11-01
2024-11-04 00:00:00+07:00,2.78,2.88,2.68,2.7,138426808,0.0,2024-11-04
2024-11-05 00:00:00+07:00,2.7,2.72,2.66,2.72,54992946,0.0,2024-11-05
2024-11-06 00:00:00+07:00,2.72,2.76,2.38,2.5,248864287,0.0,2024-11-06
2024-11-07 00:00:00+07:00,2.5,2.58,2.44,2.54,115175390,0.0,2024-11-07
2024-11-08 00:00:00+07:00,2.56,2.58,2.48,2.54,74647352,0.0,2024-11-08
2024-11-11 00:00:00+07:00,2.5,2.54,2.48,2.52,43455641,0.0,2024-11-11
2024-11-12 00:00:00+07:00,2.52,2.52,2.26,2.34,191813429,0.0,2024-11-12
2024-11-13 00:00:00+07:00,2.34,2.42,2.3,2.4,81833026,0.0,2024-11-13
2024-11-14 00:00:00+07:00,2.4,2.56,2.36,2.56,95300022,0.0,2024-11-14
2024-11-15 00:00:00+07:00,2.54,2.54,2.36,2.36,108380101,0.0,2024-11-15
2024-11-18 00:00:00+07:00,2.3,2.44,2.3,2.44,55631527,0.0,2024-11-18
2024-11-19 00:00:00+07:00,2.44,2.48,2.4,2.42,36456024,0.0,2024-11-19
2024-11-20 00:00:00+07:00,2.42,2.44,2.36,2.4,25106121,0.0,2024-11-20
2024-11-21 00:00:00+07:00,2.4,2.48,2.4,2.44,50648493,0.0,2024-11-21
2024-11-22 00:00:00+07:00,2.44,2.64,2.4,2.64,189850450,0.0,2024-11-22
2024-11-25 00:00:00+07:00,2.66,2.68,2.56,2.6,97299225,0.0,2024-11-25
2024-11-26 00:00:00+07:00,2.6,2.76,2.6,2.72,108851929,0.0,2024-11-26
2024-11-27 00:00:00+07:00,2.72,2.78,2.64,2.72,130383342,0.0,2024-11-27
2024-11-28 00:00:00+07:00,2.72,2.82,2.72,2.82,118869345,0.0,2024-11-28
2024-11-29 00:00:00+07:00,2.8,2.86,2.78,2.82,86114523,0.0,2024-11-29
2024-12-02 00:00:00+07:00,2.84,2.84,2.74,2.78,85049287,0.0,2024-12-02
2024-12-03 00:00:00+07:00,2.78,2.98,2.74,2.92,194364838,0.0,2024-12-03
2024-12-04 00:00:00+07:00,2.92,2.92,2.82,2.88,92606538,0.0,2024-12-04
2024-12-06 00:00:00+07:00,2.88,2.92,2.82,2.88,65061070,0.0,2024-12-06
2024-12-09 00:00:00+07:00,2.84,2.86,2.74,2.8,283860947,0.0,2024-12-09
2024-12-11 00:00:00+07:00,2.84,2.96,2.8,2.86,175464092,0.0,2024-12-11
2024-12-12 00:00:00+07:00,2.88,2.9,2.78,2.8,72295653,0.0,2024-12-12
2024-12-13 00:00:00+07:00,2.78,3.14,2.76,2.92,307047399,0.0,2024-12-13
2024-12-16 00:00:00+07:00,2.94,3.2,2.88,3.18,371066571,0.0,2024-12-16
2024-12-17 00:00:00+07:00,3.12,3.32,3.12,3.2,324717981,0.0,2024-12-17
2024-12-18 00:00:00+07:00,3.18,3.32,3.1,3.32,182561027,0.0,2024-12-18
2024-12-19 00:00:00+07:00,3.22,3.3,3.12,3.26,132959056,0.0,2024-12-19
2024-12-20 00:00:00+07:00,3.26,3.3,3.12,3.14,96791400,0.0,2024-12-20
2024-12-23 00:00:00+07:00,3.2,3.26,3.12,3.2,67046183,0.0,2024-12-23
2024-12-24 00:00:00+07:00,3.2,3.4,3.2,3.38,154042576,0.0,2024-12-24
2024-12-25 00:00:00+07:00,3.4,3.44,3.36,3.4,91613577,0.0,2024-12-25
