time,open,high,low,close,volume,value,date
2024-11-01 00:00:00+07:00,5.8,6.15,5.45,5.7,1405167524,0.0,2024-11-01
2024-12-01 00:00:00+07:00,5.7,5.9,5.1,5.5,732634648,0.0,2024-12-01
2025-01-01 00:00:00+07:00,5.5,5.55,4.74,4.76,1718824758,0.0,2025-01-01
2025-02-01 00:00:00+07:00,4.62,4.86,3.34,3.44,4045794998,0.0,2025-02-01
2025-03-01 00:00:00+07:00,3.46,3.82,3.28,3.42,3033023209,0.0,2025-03-01
2025-04-01 00:00:00+07:00,3.44,3.52,2.26,3.02,3865990370,0.0,2025-04-01
2025-05-01 00:00:00+07:00,3.04,3.6,2.98,3.2,2591202427,0.0,2025-05-01
2025-06-01 00:00:00+07:00,3.2,3.22,2.8,3.16,1803740872,0.0,2025-06-01
2025-07-01 00:00:00+07:00,3.18,3.7,2.9,3.58,3239341413,0.0,2025-07-01
2025-08-01 00:00:00+07:00,3.84,3.88,3.44,3.6,2315537016,0.0,2025-08-01
2025-09-01 00:00:00+07:00,3.6,3.84,3.52,3.56,1466031570,0.0,2025-09-01
2025-10-01 00:00:00+07:00,3.56,3.74,3.22,3.26,1547636168,174011148.0,2025-10-01
